smiles,U
CC[C@H]1C[C@]1(O)CCO,-11575.7001953125
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,-9461.4541015625
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,-11474.59375
C[C@]12CC(=O)[C@@]1(C#N)N2,-11341.4931640625
[NH-]C1=C[CH-][C@@H](O)CCO1,-11948.0732421875
C[NH2+][C@@H](C)OC(C)=O,-10912.630859375
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,-12487.93359375
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,-11542.658203125
CC[C@@H](C)[C@@H](CC)OC,-10631.021484375
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,-11947.880859375
O=CCc1ccncn1,-11343.4052734375
CC[C@H]1C[C@@H](CO)CO1,-11576.4404296875
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,-10363.71875
CC(=O)NCC[C@H]1CO1,-11980.8642578125
N#C[C@@H]1C[C@@H](O)C[C@H]1O,-11948.40625
CNC(=O)COC(C)C,-12014.0830078125
C[C@H]1C[C@]12C=CCCC2,-9555.6005859375
N#CC1(O)CCCC1,-9901.802734375
CC[C@]12[C@@H](O)[C@@H]3C14OC342,-11508.3232421875
O[C@H]1[C@@H]2CC=C[C@H]1CC2,-10533.7578125
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,-10532.828125
CCOC(=O)NC,-9876.482421875
CCC(=O)[C@H]1OC[C@H]1O,-12521.3203125
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,-11477.2724609375
CCc1conc1CC,-10970.2998046875
CC#CC(=O)OCCO,-12488.728515625
C[C@]12CO[C@H]1[C@@H](CO)N2,-11979.07421875
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10870.08984375
CC1(C)CCOCO1,-10507.5439453125
O=C1OC[C@@H]1NCCO,-12958.3896484375
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,-11809.9296875
C#C[C@H](C)[C@H]1COC1=O,-11477.9833984375
COCCC1(CO)CC1,-11575.349609375
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,-12487.4853515625
C[C@@]1(C=O)OCOC1[NH-],-12926.3095703125
C[C@H]1C[C@H]2C[C@]1(O)C2,-9496.6513671875
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,-10936.3525390625
C[N@@H+](CC=O)C1CC1,-9932.767578125
CCc1ccnc(O)c1,-10939.6201171875
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,-10532.1064453125
C[C@H]1C=CC[C@@H]2C[C@H]1O2,-10533.123046875
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,-12488.4345703125
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,-12487.6318359375
C[C@]12CC[C@H]1CC(=O)C2,-10533.923828125
O=C1OCC=CC[C@@H]1O,-12489.7041015625
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,-10935.501953125
C[C@@H]([NH-])OC(=O)C=O,-11857.5595703125
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,-8485.9111328125
OC[C@H]1[C@@H]2CO[C@H]1C2,-10473.5546875
Cn1c(CO)cnc1O,-12385.6806640625
CO[C@H]1C[C@@H](O)[C@@]12CN2,-11978.9619140625
C[C@H]1C[C@H]2C[C@]21CC#N,-9959.328125
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,-10902.7587890625
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,-10466.7509765625
CC[C@](C)(C=O)CO,-10507.4150390625
CC[C@]12O[C@H]1C=C[C@H]2O,-11510.6044921875
C#C[C@H]1C=CC[C@@]12CN2,-9925.357421875
C[C@H]1CCN(C)C(=O)O1,-11982.15234375
CC1(C)[C@H](C=O)C[C@@H]1O,-11543.5869140625
C[C@@]1(CO)C[C@H]1[C@H]1CO1,-11542.3916015625
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,-10531.6435546875
O[C@@H]1C=CC2(CC2)C1,-9463.912109375
N#CCCC1C23CC12O3,-10935.73046875
C[C@@]1(C#N)OC[C@H]2O[C@H]21,-11915.111328125
C[C@H]1O[C@@]12COC([NH-])C2,-11948.0576171875
C#C[C@]1(CC)C[C@H]2O[C@H]21,-10498.423828125
C#CC1=CC(=O)NCC1,-10905.26171875
C[C@H](C=O)CCO,-9438.29296875
CN1CCOC1=O,-9843.931640625
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,-11947.0029296875
C[C@@]1(O)CC[C@H]1C=O,-10474.5869140625
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,-9522.2841796875
C[C@H]1N[C@@]12COC21CC1,-10968.3056640625
COC(=O)[C@H]1N[C@H]1C#N,-12352.384765625
N=CNc1cnon1,-11178.2421875
C#CC[C@@H]1O[C@@H]1CC=O,-11476.802734375
O=CN1CCCNC1=O,-12386.7451171875
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,-10935.775390625
Cc1c[nH]c(N)c1C,-9361.2607421875
CC1(NC(=O)C=O)CC1,-11948.578125
CC1(C)[C@@H]2C[C@H]1OC2=O,-11511.5185546875
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,-11341.29296875
C[C@@]1(C[C@@H](O)C=O)CN1,-11980.1103515625
N#Cc1c[nH]cc1N,-9733.181640625
O=c1ncc(CO)no1,-13329.53125
CC(C)[C@H]1C[C@@H](O)C1=O,-11543.85546875
CCC(=O)C(=O)N(C)C,-11981.7275390625
CNc1ncoc1C,-10338.7900390625
CC(C)(O)CCCCO,-11608.9541015625
NC(=O)C1=CCCCC1,-10971.732421875
C#C[C@@H](CC#N)C1CC1,-9925.9013671875
CN(C)C(=O)[C@H]1CCO1,-11980.4384765625
N#CC#C[C@H](C#N)CN,-10767.662109375
NC(=O)N1[C@@H]2C=CC[C@@H]21,-11374.947265625
C#C[C@@]1(C)[C@H](O)[C@@H]1C,-9462.7099609375
C#C[C@@](N)(C#N)CCC,-10395.5126953125
CC1=CN(C=O)C[C@H]1O,-11948.93359375
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,-10935.6982421875
N#CCNc1ncon1,-12215.7587890625
C[C@H]1CCC[C@H]1C=O,-9497.5029296875
CC1=CCCNCC1=O,-10970.5849609375
N#C[C@@H]1OC(=O)C[C@@H]1N,-12353.453125
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,-11881.79296875
C#C[C@H](CC(N)=O)OC,-11947.5244140625
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,-10968.9404296875
C#C[C@@]12C[C@@H]1CO[C@@H]2C,-10499.5029296875
CCOC(=O)C1CCC1,-11544.4208984375
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,-10496.84765625
CCN[C@H](C#N)CNC,-10898.484375
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,-10970.404296875
CCCC[N@@H+](C)CC#N,-10461.7939453125
CC1(C)C[C@]12C[C@H](C)C2,-9587.6142578125
O=C1N[C@H]2CO[C@@H]12,-9809.4404296875
C[C@H]1O[C@H]1[C@H]1CCC1=O,-11510.59765625
CN[C@@H](C=O)[C@@H](C)C#N,-11407.2705078125
C[NH2+]C1C[C@@H](CO)CO1,-11980.8828125
CO[C@]12C=CC[C@H]1[C@H]2O,-11510.2109375
O=C1C=CC(=O)[C@@H]2C[C@H]12,-11446.783203125
COc1coc(C#N)c1,-11883.2822265625
CC1(C)[C@H](C#N)[C@@H]1O,-9901.1650390625
O=C1CC[C@H](CO)CN1,-11981.783203125
CC[C@H]1CO[C@H]1CC#N,-10969.9765625
[NH-]C1OC=C(N)N=C1F,-13443.47265625
C#CC#C[C@@H]1C[N@@H+]1C,-8855.40234375
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,-10564.814453125
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,-11510.7646484375
Cc1[nH]c(O)nc1CO,-12386.109375
Cn1nnc(O)nc1=O,-13226.7060546875
O=CC[C@H]1OC12CCC2,-11510.3466796875
N#C[C@H]1CCC2(CC2)C1,-9960.0869140625
OCC#Cc1cn[nH]n1,-11777.6806640625
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,-11510.0751953125
NCc1nc(N)co1,-10775.5859375
Cc1ccc(CCO)o1,-11511.873046875
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,-9522.02734375
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,-11947.794921875
O=Cc1ccn[nH]c1=O,-12320.7919921875
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,-10935.5537109375
O=C[C@H](O)CC#CCO,-12487.8017578125
CC[NH2+]C(C)OCCO,-12013.3056640625
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,-9892.2705078125
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,-11915.171875
CC1=C[C@H]2CC[C@H]2C1,-8486.560546875
N#CC[C@]1(O)COC1[NH-],-12352.3017578125
C#CCOc1nn[nH]n1,-12213.8251953125
CC[C@@H](C)O[C@@H](C)CO,-11608.9189453125
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,-10532.3720703125
CC(=O)[C@]12C[C@H]1NC2=O,-11915.6787109375
C#CC[C@@]1(C)C[C@@H]1CC,-9554.1767578125
C#CC1(CCCC)CC1,-9554.2021484375
NC1=CC(=O)NC12CC2,-11375.3662109375
NC(=O)[C@@H](O)COC=O,-13937.75
NC(=O)[C@]12CO[C@H](C1)C2,-11948.15234375
CNC1=CC(C)[C@H](C)O1,-10971.0224609375
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,-11948.189453125
C[C@H](C=O)CC[NH+]1CC1,-11002.0087890625
FC(F)(F)c1ccno1,-15865.0830078125
C[C@H]1[N@H+]2C[C@H]2CC12CC2,-9991.455078125
C[C@]12OCC(=O)[C@H]1[C@H]2O,-12488.8115234375
Nc1[nH]ncc1CC=O,-11812.0546875
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,-10936.052734375
Cn1cc(N)cc1CO,-11407.44921875
CCN[C@@H]1C([NH-])O[C@@H]1C,-11439.4599609375
CN(C=N)c1ccon1,-11811.126953125
OC1C=C2[C@@H]3C[C@@H]3N2N1,-11340.4208984375
C[C@H]1CC([NH-])NC(=O)O1,-12386.873046875
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,-10301.2060546875
C[C@@]1(C=O)[NH2+][CH+]OC1=O,-12894.53125
CCOC1(C#N)COC1,-11947.248046875
Nc1nc(=O)c(F)no1,-14421.029296875
O=C1N[C@H](CO)[C@@H]2CN12,-12385.1171875
C#C[C@H]1OCC12CCC2,-10498.4736328125
C1COCC2(C1)CCC2,-10565.8037109375
C#C[C@@H]1[C@H](O)C[C@H]1NO,-11912.6142578125
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,-10901.3974609375
CCC[C@H]1OCOC1[NH-],-11981.1025390625
N#C[C@@H]1C[C@H](NO)[C@@H]1O,-12350.90625
CCO/C(=N/C)NC=O,-12418.28125
ONc1c[cH+]oc(F)c1,-13546.3837890625
COC[C@H]1OCC[C@H]1C,-11576.1123046875
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,-12553.43359375
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,-9429.9404296875
C[NH2+][CH+]OCC=O,-9842.30859375
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,-8485.4443359375
CN(C=O)[C@H]1CCOC1,-11981.107421875
NC(=O)c1ccc(N)[nH]1,-11813.224609375
C1=CCc2[nH]cnc2C1,-10365.5068359375
O=C1CCCOCOC1,-12521.580078125
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,-12487.8466796875
CC[C@@H](C)c1ccno1,-10970.251953125
CN1CCc2n[nH]cc21,-10833.6923828125
Cc1c[nH]nc(C)c1=O,-11375.658203125
C#CCC#CCC1CC1,-9487.6982421875
N#CC[C@@H]1[C@H](O)C[C@@H]1O,-11947.8134765625
O=c1cccco1,-9341.8583984375
CC(=O)c1cncnc1,-11343.6669921875
C#C[C@]1(C)C[C@]1(C)C#N,-9926.1328125
C#Cc1cc(N)on1,-10271.658203125
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,-11406.1787109375
CCOc1n[nH]nc1C,-11844.2685546875
O[C@]12CCC[NH2+][C@H]1OC2,-11947.69921875
C[N@H+]1C[C@H]1COCC=O,-11979.2666015625
C[C@@H](CCO)C(=O)C#N,-11948.263671875
N=CN1CC(=O)CC1=O,-12353.66796875
C[C@H]1OC(=O)N[C@H]1C=O,-12927.4482421875
O[C@]12C[C@H]1C=C1CC[C@H]12,-10499.3603515625
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,-10967.609375
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,-10935.9580078125
C[C@@]12CC(=O)CO[C@@H]1C2,-11511.166015625
OC[C@H]1CC[C@H]2C[C@@H]1C2,-10565.546875
C[C@H]1N[C@@]12CCCC2=O,-10970.62109375
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,-12352.791015625
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,-12519.9072265625
OC[C@H]1CC[C@@H](O)C1,-10507.3994140625
N#CCC[C@]1(CO)CO1,-11947.568359375
C[C@H]1[C@@H](C#N)[C@H]1C#N,-9295.2734375
CCC#C[C@H]1[C@H]2CC[C@@H]12,-9521.1669921875
CCC1=C(C#N)COC1,-10938.1171875
CC[C@]12C[C@](C#N)(C1)N2,-10395.201171875
CC1=C[C@H]2C[C@]1(C=O)C2,-10499.91015625
C[C@H]1NC(=O)N[C@H]2C[C@H]21,-11408.1708984375
O=CO[C@H]1CCNC1=O,-12927.5458984375
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,-12351.2841796875
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,-11512.1337890625
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,-9521.40625
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,-12925.22265625
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,-11945.8603515625
C[C@H]1CC[C@]1(O)CC#N,-10970.341796875
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,-11979.892578125
C[C@H]1OC([NH-])[C@]1(C)C#N,-11374.8505859375
OCC[C@@]1(O)C[N@H+]2C[C@H]21,-11978.75
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,-10936.2216796875
COC[C@]12CO[C@H]1CN2,-11978.7001953125
C[C@H]1C[C@H]2CC[C@]21O,-9496.083984375
O=C1C[C@H]2O[C@H]2CN1,-10879.607421875
OCC#CC12C[NH+](C1)C2,-10933.990234375
O=COCc1cnco1,-12894.3408203125
N[C@@]1(CCO)COC1=O,-12958.5751953125
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,-9833.4912109375
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,-13531.4169921875
c1nc([C@H]2CCO2)co1,-11915.4345703125
CC(C)N(C)C(=N)C=O,-11439.7763671875
C#CCc1nc(O)no1,-12318.7421875
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,-11478.62890625
CC#C[C@H]1C[C@H](CC)C1,-9554.50390625
C[NH2+]C1COC(=O)N1C,-12386.5791015625
C[C@H]1C[C@@H](O)C=CCO1,-11543.4853515625
N#C[C@H]1NC[C@H]2CN[C@H]21,-10832.91015625
C#CCc1cc[nH]n1,-9294.4501953125
C#C[C@@]1(C=O)C[C@@H]1O,-10408.169921875
CC[C@]12O[C@H]1C=CC2=O,-11478.46875
O=c1cncn[nH]1,-9673.9931640625
CC[C@]12C[C@H](CO1)CO2,-11544.1357421875
O[C@H]1[C@@H]2CC[C@@]1(O)C2,-10474.2412109375
CC1=NOC([NH-])=C[CH+]1C,-11374.3505859375
O=C1CC2(CO2)C1,-9372.3681640625
CC1=CC[C@@H]2O[C@H]1C2=O,-11478.37890625
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,-11509.826171875
CNC(=O)CO[CH+][NH-],-11349.0380859375
CC[C@H]1OC[C@H]1CC#N,-10970.0224609375
O=C[C@H](CO)OCCO,-13531.4072265625
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,-11371.4228515625
CC(C)(C#N)C1(O)CC1,-10970.099609375
CC[C@]12C[C@H]1[C@H]1C[C@H]12,-8484.37890625
NC(=O)c1ncccn1,-11781.013671875
O=C[C@H]1OCOC12CC2,-12488.2333984375
O[C@H]1CC[C@]2(CO2)C1,-10474.2900390625
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,-11979.283203125
CCC#Cc1cocn1,-10904.9921875
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,-11510.7294921875
CO[C@H]1CCOC1(C)C,-11576.3115234375
O[C@@H]1[C@H](O)[C@]12CCCO2,-12520.7158203125
C1=Cc2[nH]nnc2OC1,-11778.6142578125
O[C@H]1CCC[C@H]2N[C@@H]12,-9933.4453125
CC(=O)[C@H]1OC([NH-])[C@H]1O,-12925.9560546875
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,-10564.873046875
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,-12923.9345703125
C[C@@H]1CC[C@H](C)N1C=O,-11004.0830078125
N#C[C@H]1CCCCN1,-9360.7529296875
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,-11474.029296875
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,-12488.1611328125
NC1=CN[C@@H]2[C@@H](O)CN12,-11810.955078125
Nc1nn[nH]c1[C@H]1CN1,-11706.4609375
CCCO[C@@H](C)[C@H]1CO1,-11575.4716796875
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,-10395.58984375
O[C@H]1C[C@H]2CCC[C@@H]1C2,-10566.5908203125
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,-9520.541015625
C#C[C@H](O)[C@H](C=O)CC,-11510.005859375
O=C1/C=C\NCCCO1,-11948.44921875
CO[C@H](C1CC1)[C@@H](C)O,-11575.4638671875
CC1=CCC[C@@]2(C)N[C@@H]12,-9992.326171875
C#Cc1c(C)coc1N,-10904.9052734375
C[C@H]1C[C@H]2[N@@H+]1C21COC1,-10968.1318359375
CC1=CCC([NH-])OC1,-9901.677734375
C#C[C@@]1(N)C[C@@]1(C)C#N,-10362.794921875
CC[C@H]1CN=COC1=O,-11949.27734375
C[C@]12N[C@H]1[C@@H](C#N)[C@H]2N,-10832.6259765625
O=C1C[C@H]2O[C@H]3[C@@H](N1)[C@H]32,-11915.228515625
