smiles,epsilon_HOMO
O=C1OCCC=C1CO,-7.091287136077881
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,-6.54978084564209
CC[C@H]1C[C@]1(O)CCO,-6.802846431732178
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,-5.649083614349365
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,-6.342973709106445
C[C@]12CC(=O)[C@@]1(C#N)N2,-7.306257247924805
[NH-]C1=C[CH-][C@@H](O)CCO1,-6.713048934936523
C[NH2+][C@@H](C)OC(C)=O,-6.987883567810059
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,-6.699442863464356
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,-6.449098587036133
CC[C@@H](C)[C@@H](CC)OC,-6.576991558074951
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,-6.48447322845459
O=CCc1ccncn1,-6.881759643554688
CC[C@H]1C[C@@H](CO)CO1,-6.704885482788086
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,-6.413723468780518
CC(=O)NCC[C@H]1CO1,-6.612366676330566
N#C[C@@H]1C[C@@H](O)C[C@H]1O,-7.341631889343262
CNC(=O)COC(C)C,-6.503520965576172
C[C@H]1C[C@]12C=CCCC2,-5.926640033721924
N#CC1(O)CCCC1,-8.065455436706543
CC[C@]12[C@@H](O)[C@@H]3C14OC342,-6.204195976257324
O[C@H]1[C@@H]2CC=C[C@H]1CC2,-6.3620219230651855
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,-6.547059535980225
CCOC(=O)NC,-6.74298095703125
CCC(=O)[C@H]1OC[C@H]1O,-6.634135723114014
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,-6.277666568756104
CCc1conc1CC,-6.753865718841553
CC#CC(=O)OCCO,-7.32802677154541
C[C@]12CO[C@H]1[C@@H](CO)N2,-5.904870510101318
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-7.464083194732666
CC1(C)CCOCO1,-7.017816543579102
O=C1OC[C@@H]1NCCO,-6.383790969848633
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,-6.481751918792725
C#C[C@H](C)[C@H]1COC1=O,-7.216459274291992
COCCC1(CO)CC1,-6.7974042892456055
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,-6.4327712059021
C[C@@]1(C=O)OCOC1[NH-],-7.145709991455078
C[C@H]1C[C@H]2C[C@]1(O)C2,-6.8980865478515625
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,-6.571549892425537
C[N@@H+](CC=O)C1CC1,-5.836842060089111
CCc1ccnc(O)c1,-6.266781806945801
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,-6.585155487060547
C[C@H]1C=CC[C@@H]2C[C@H]1O2,-6.416444778442383
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,-6.492636680603027
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,-6.772913932800293
C[C@]12CC[C@H]1CC(=O)C2,-6.402839183807373
O=C1OCC=CC[C@@H]1O,-7.268161296844482
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,-6.329368591308594
C[C@@H]([NH-])OC(=O)C=O,-7.447756290435791
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,-6.987883567810059
OC[C@H]1[C@@H]2CO[C@H]1C2,-6.397397041320801
Cn1c(CO)cnc1O,-5.2300286293029785
CO[C@H]1C[C@@H](O)[C@@]12CN2,-6.525290489196777
C[C@H]1C[C@H]2C[C@]21CC#N,-7.25727653503418
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,-6.342973709106445
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,-5.624593257904053
CC[C@](C)(C=O)CO,-6.560665130615234
CC[C@]12O[C@H]1C=C[C@H]2O,-6.762029647827148
C#C[C@H]1C=CC[C@@]12CN2,-6.533453464508057
C[C@H]1CCN(C)C(=O)O1,-6.479031085968018
CC1(C)[C@H](C=O)C[C@@H]1O,-6.590597629547119
C[C@@]1(CO)C[C@H]1[C@H]1CO1,-7.066796779632568
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,-6.046370029449463
O[C@@H]1C=CC2(CC2)C1,-6.356579780578613
N#CCCC1C23CC12O3,-6.786519527435303
C[C@@]1(C#N)OC[C@H]2O[C@H]21,-7.768850326538086
C[C@H]1O[C@@]12COC([NH-])C2,-6.990605354309082
C#C[C@]1(CC)C[C@H]2O[C@H]21,-6.870874881744385
C#CC1=CC(=O)NCC1,-6.642299175262451
C[C@H](C=O)CCO,-6.723933219909668
CN1CCOC1=O,-6.729375839233398
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,-6.645020484924316
C[C@@]1(O)CC[C@H]1C=O,-6.704885482788086
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,-6.03548526763916
C[C@H]1N[C@@]12COC21CC1,-6.141610145568848
COC(=O)[C@H]1N[C@H]1C#N,-7.564764976501465
N=CNc1cnon1,-6.770192623138428
C#CC[C@@H]1O[C@@H]1CC=O,-6.944345474243164
O=CN1CCCNC1=O,-6.555222511291504
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,-5.899428367614746
Cc1c[nH]c(N)c1C,-5.107577323913574
CC1(NC(=O)C=O)CC1,-6.737539291381836
CC1(C)[C@@H]2C[C@H]1OC2=O,-7.055912017822266
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,-7.096729278564453
C[C@@]1(C[C@@H](O)C=O)CN1,-6.645020484924316
N#Cc1c[nH]cc1N,-5.496700286865234
O=c1ncc(CO)no1,-7.447756290435791
CC(C)[C@H]1C[C@@H](O)C1=O,-6.710327625274658
CCC(=O)C(=O)N(C)C,-6.353858470916748
CNc1ncoc1C,-5.107577323913574
CC(C)(O)CCCCO,-7.088566303253174
NC(=O)C1=CCCCC1,-6.481751918792725
C#C[C@@H](CC#N)C1CC1,-7.431428909301758
CN(C)C(=O)[C@H]1CCO1,-6.42460823059082
N#CC#C[C@H](C#N)CN,-7.447756290435791
NC(=O)N1[C@@H]2C=CC[C@@H]21,-6.43821382522583
C#C[C@@]1(C)[C@H](O)[C@@H]1C,-6.402839183807373
C#C[C@@](N)(C#N)CCC,-7.270882129669189
CC1=CN(C=O)C[C@H]1O,-5.915755271911621
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,-5.899428367614746
N#CCNc1ncon1,-7.004210948944092
C[C@H]1CCC[C@H]1C=O,-6.623250961303711
CC1=CCCNCC1=O,-5.815073013305664
N#C[C@@H]1OC(=O)C[C@@H]1N,-7.208295822143555
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,-7.817831039428711
C#C[C@H](CC(N)=O)OC,-6.508963584899902
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,-6.103513717651367
C#C[C@@]12C[C@@H]1CO[C@@H]2C,-6.609645366668701
CCOC(=O)C1CCC1,-7.153872966766357
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,-5.926640033721924
CCN[C@H](C#N)CNC,-6.334810733795166
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,-6.557943820953369
CCCC[N@@H+](C)CC#N,-6.386512279510498
CC1(C)C[C@]12C[C@H](C)C2,-6.645020484924316
O=C1N[C@H]2CO[C@@H]12,-6.593318939208984
C[C@H]1O[C@H]1[C@H]1CCC1=O,-6.694001197814941
CN[C@@H](C=O)[C@@H](C)C#N,-6.609645366668701
C[NH2+]C1C[C@@H](CO)CO1,-6.514405727386475
CO[C@]12C=CC[C@H]1[C@H]2O,-6.092629432678223
O=C1C=CC(=O)[C@@H]2C[C@H]12,-6.968835830688477
COc1coc(C#N)c1,-6.42460823059082
CC1(C)[C@H](C#N)[C@@H]1O,-7.319862365722656
O=C1CC[C@H](CO)CN1,-6.329368591308594
CC[C@H]1CO[C@H]1CC#N,-7.121219635009766
[NH-]C1OC=C(N)N=C1F,-5.583776473999023
C#CC#C[C@@H]1C[N@@H+]1C,-6.179705619812012
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,-6.315762519836426
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,-6.5633864402771
Cc1[nH]c(O)nc1CO,-5.33615255355835
Cn1nnc(O)nc1=O,-7.213738441467285
O=CC[C@H]1OC12CCC2,-6.783798694610596
N#C[C@H]1CCC2(CC2)C1,-7.635515213012695
OCC#Cc1cn[nH]n1,-6.604203224182129
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,-7.034143447875977
NCc1nc(N)co1,-5.464046478271484
Cc1ccc(CCO)o1,-5.570170402526856
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,-5.932082176208496
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,-6.571549892425537
O=Cc1ccn[nH]c1=O,-6.82189416885376
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,-6.1769843101501465
O=C[C@H](O)CC#CCO,-6.911692142486572
CC[NH2+]C(C)OCCO,-6.726654529571533
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,-5.790582656860352
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,-7.1184983253479
CC1=C[C@H]2CC[C@H]2C1,-6.100792407989502
N#CC[C@]1(O)COC1[NH-],-7.695379734039307
C#CCOc1nn[nH]n1,-7.153872966766357
CC[C@@H](C)O[C@@H](C)CO,-6.723933219909668
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,-6.846384525299072
CC(=O)[C@]12C[C@H]1NC2=O,-6.819173336029053
C#CC[C@@]1(C)C[C@@H]1CC,-6.996047019958496
C#CC1(CCCC)CC1,-6.514405727386475
NC1=CC(=O)NC12CC2,-5.981062412261963
NC(=O)[C@@H](O)COC=O,-7.4695258140563965
NC(=O)[C@]12CO[C@H](C1)C2,-6.636857032775879
CNC1=CC(C)[C@H](C)O1,-6.119840621948242
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,-6.623250961303711
C[C@H](C=O)CC[NH+]1CC1,-6.489915370941162
FC(F)(F)c1ccno1,-7.918513298034668
C[C@H]1[N@H+]2C[C@H]2CC12CC2,-6.117119789123535
C[C@]12OCC(=O)[C@H]1[C@H]2O,-6.449098587036133
Nc1[nH]ncc1CC=O,-5.6708526611328125
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,-6.4327712059021
Cn1cc(N)cc1CO,-4.723896503448486
CCN[C@@H]1C([NH-])O[C@@H]1C,-6.236849784851074
CN(C=N)c1ccon1,-6.08174467086792
OC1C=C2[C@@H]3C[C@@H]3N2N1,-5.972899436950684
C[C@H]1CC([NH-])NC(=O)O1,-7.216459274291992
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,-5.668131351470947
C[C@@]1(C=O)[NH2+][CH+]OC1=O,-7.374285697937012
CCOC1(C#N)COC1,-7.396054744720459
Nc1nc(=O)c(F)no1,-7.213738441467285
O=C1N[C@H](CO)[C@@H]2CN12,-6.881759643554688
C#C[C@H]1OCC12CCC2,-6.82733678817749
C1COCC2(C1)CCC2,-6.593318939208984
C#C[C@@H]1[C@H](O)C[C@H]1NO,-6.917134761810303
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,-6.479031085968018
CCC[C@H]1OCOC1[NH-],-7.295372486114502
N#C[C@@H]1C[C@H](NO)[C@@H]1O,-7.273603439331055
CCO/C(=N/C)NC=O,-6.664068222045898
ONc1c[cH+]oc(F)c1,-5.548401355743408
COC[C@H]1OCC[C@H]1C,-6.601481914520264
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,-6.370185375213623
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,-6.525290489196777
C[NH2+][CH+]OCC=O,-7.104892730712891
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,-7.763408184051514
CN(C=O)[C@H]1CCOC1,-6.397397041320801
NC(=O)c1ccc(N)[nH]1,-5.251797676086426
C1=CCc2[nH]cnc2C1,-5.630035877227783
O=C1CCCOCOC1,-6.345695018768311
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,-6.266781806945801
CC[C@@H](C)c1ccno1,-6.7974042892456055
CN1CCc2n[nH]cc21,-4.93886661529541
Cc1c[nH]nc(C)c1=O,-6.019158840179443
C#CCC#CCC1CC1,-6.713048934936523
N#CC[C@@H]1[C@H](O)C[C@@H]1O,-7.270882129669189
O=c1cccco1,-6.500800132751465
CC(=O)c1cncnc1,-7.107614040374756
C#C[C@]1(C)C[C@]1(C)C#N,-7.012373924255371
C#Cc1cc(N)on1,-6.108956336975098
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,-6.057254314422607
CCOc1n[nH]nc1C,-6.046370029449463
O[C@]12CCC[NH2+][C@H]1OC2,-6.568828582763672
C[N@H+]1C[C@H]1COCC=O,-6.334810733795166
C[C@@H](CCO)C(=O)C#N,-7.567486763000488
N=CN1CC(=O)CC1=O,-6.718491554260254
C[C@H]1OC(=O)N[C@H]1C=O,-7.240949630737305
O[C@]12C[C@H]1C=C1CC[C@H]12,-5.842284679412842
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,-6.356579780578613
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,-6.413723468780518
C[C@@]12CC(=O)CO[C@@H]1C2,-6.215080738067627
OC[C@H]1CC[C@H]2C[C@@H]1C2,-7.104892730712891
C[C@H]1N[C@@]12CCCC2=O,-6.604203224182129
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,-6.601481914520264
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,-6.479031085968018
OC[C@H]1CC[C@@H](O)C1,-6.90625
N#CCC[C@]1(CO)CO1,-7.545717239379883
C[C@H]1[C@@H](C#N)[C@H]1C#N,-8.334847450256348
CCC#C[C@H]1[C@H]2CC[C@@H]12,-6.166100025177002
CCC1=C(C#N)COC1,-6.8137311935424805
CC[C@]12C[C@](C#N)(C1)N2,-7.023258686065674
CC1=C[C@H]2C[C@]1(C=O)C2,-6.198753356933594
C[C@H]1NC(=O)N[C@H]2C[C@H]21,-6.269503116607666
O=CO[C@H]1CCNC1=O,-6.974278450012207
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,-6.824615955352783
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,-7.145709991455078
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,-6.247734069824219
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,-6.919855117797852
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,-6.925297737121582
C[C@H]1CC[C@]1(O)CC#N,-7.464083194732666
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,-6.103513717651367
C[C@H]1OC([NH-])[C@]1(C)C#N,-7.708985805511475
OCC[C@@]1(O)C[N@H+]2C[C@H]21,-6.2749457359313965
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,-6.040927886962891
COC[C@]12CO[C@H]1CN2,-6.02187967300415
C[C@H]1C[C@H]2CC[C@]21O,-6.574271202087402
O=C1C[C@H]2O[C@H]2CN1,-6.636857032775879
OCC#CC12C[NH+](C1)C2,-6.514405727386475
O=COCc1cnco1,-7.140267848968506
N[C@@]1(CCO)COC1=O,-6.938903331756592
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,-6.598761081695557
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,-6.323925971984863
c1nc([C@H]2CCO2)co1,-6.555222511291504
CC(C)N(C)C(=N)C=O,-6.1443305015563965
C#CCc1nc(O)no1,-7.26271915435791
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,-6.59604024887085
CC#C[C@H]1C[C@H](CC)C1,-6.416444778442383
C[NH2+]C1COC(=O)N1C,-6.745702266693115
C[C@H]1C[C@@H](O)C=CCO1,-6.623250961303711
N#C[C@H]1NC[C@H]2CN[C@H]21,-6.421886920928955
C#CCc1cc[nH]n1,-6.669510841369629
C#C[C@@]1(C=O)C[C@@H]1O,-6.566107273101807
CC[C@]12O[C@H]1C=CC2=O,-6.576991558074951
O=c1cncn[nH]1,-6.936182498931885
CC[C@]12C[C@H](CO1)CO2,-6.615087985992432
O[C@H]1[C@@H]2CC[C@@]1(O)C2,-6.783798694610596
CC1=NOC([NH-])=C[CH+]1C,-6.272224426269531
O=C1CC2(CO2)C1,-6.7484235763549805
CC1=CC[C@@H]2O[C@H]1C2=O,-6.375627517700195
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,-6.171542167663574
CNC(=O)CO[CH+][NH-],-6.691279888153076
CC[C@H]1OC[C@H]1CC#N,-7.020537376403809
O=C[C@H](CO)OCCO,-6.8980865478515625
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,-6.503520965576172
CC(C)(C#N)C1(O)CC1,-7.357958316802978
CC[C@]12C[C@H]1[C@H]1C[C@H]12,-5.532074928283691
NC(=O)c1ncccn1,-6.645020484924316
O=C[C@H]1OCOC12CC2,-6.783798694610596
O[C@H]1CC[C@]2(CO2)C1,-6.996047019958496
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,-6.168820858001709
CCC#Cc1cocn1,-6.117119789123535
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,-6.413723468780518
CO[C@H]1CCOC1(C)C,-6.593318939208984
O[C@@H]1[C@H](O)[C@]12CCCO2,-5.831399917602539
C1=Cc2[nH]nnc2OC1,-5.7198333740234375
O[C@H]1CCC[C@H]2N[C@@H]12,-6.617809295654297
CC(=O)[C@H]1OC([NH-])[C@H]1O,-7.088566303253174
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,-6.255897521972656
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,-6.816452026367188
C[C@@H]1CC[C@H](C)N1C=O,-6.408281326293945
N#C[C@H]1CCCCN1,-6.48447322845459
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,-5.945687770843506
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,-5.959293365478516
NC1=CN[C@@H]2[C@@H](O)CN12,-5.352479934692383
Nc1nn[nH]c1[C@H]1CN1,-5.888543605804443
CCCO[C@@H](C)[C@H]1CO1,-6.865432262420654
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,-6.073581218719482
O[C@H]1C[C@H]2CCC[C@@H]1C2,-6.998768329620361
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,-7.110334873199463
C#C[C@H](O)[C@H](C=O)CC,-6.7810773849487305
O=C1/C=C\NCCCO1,-6.2586188316345215
CO[C@H](C1CC1)[C@@H](C)O,-6.664068222045898
