smiles,H
C#C[C@@H]1COC([NH-])[C@H]1O,-11914.6767578125
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,-11911.4345703125
CCN1C(=O)[C@]2(C)C[C@H]12,-10970.029296875
Oc1cc(N2CC2)n[nH]1,-11810.853515625
O=C1Cn2cncc2O1,-12321.2255859375
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,-9991.478515625
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,-11510.564453125
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,-9899.2041015625
C[C@]12CNC1=CC(=O)N2,-11374.6064453125
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,-9990.3466796875
C#C[C@@]12OC[C@@H]1C[C@@H]2C,-10498.603515625
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,-12486.2001953125
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,-9899.3037109375
C[N@H+]1CC(=O)[C@H]2C[C@]21C,-10970.212890625
NC(=O)[C@H]1CC12COC2,-11947.775390625
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,-10362.53515625
[NH-]c1cc(F)[nH+]cc1N,-12466.076171875
COC[C@@H](C)[C@H]1CCO1,-11575.369140625
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,-11946.8466796875
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,-11543.171875
CC#C[C@@H](C)C1CC1,-8485.2724609375
C[C@]1(CO)C=CC(=O)O1,-12490.154296875
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,-11371.3330078125
C#CC(=O)[C@@H](C)CC=O,-11477.876953125
O[C@H]1CC=C2CCO[C@H]21,-11510.966796875
O=C1CCc2ocnc21,-11884.119140625
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,-10936.3671875
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,-10969.3427734375
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,-11510.8193359375
N#C[C@H](O)c1ccco1,-11883.3076171875
O=CNC1=CCC[C@@H]1O,-11949.0234375
COCCCCCO,-10539.404296875
CCNC1=C(C)[CH-]CO1,-10970.9248046875
C[CH+]1C=CC([NH-])OC1O,-11916.5146484375
O=C1C(=O)[C@H]2CC[C@@H]1N2,-11915.9853515625
NC(=O)[C@H]1O[C@H]1C1CC1,-11947.70703125
C#CCc1c[nH]nc1C,-10363.611328125
N#CC(=O)c1nc[nH]n1,-12183.9658203125
C[C@H]1N[C@]2(C[C@H]2O)C1=O,-11947.2333984375
CCC1(C)C23CC12O3,-9494.787109375
COCCn1cnnc1,-11843.83984375
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,-10867.4375
O=C[C@]12C=C[C@H](C1)[C@@H]2O,-11477.353515625
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,-12456.5869140625
CC[C@@](C)(OC)C(C)C,-10631.0
O=C1OCCC=C1CO,-12489.876953125
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,-11372.720703125
CC[C@H]1C[C@]1(O)CCO,-11575.6748046875
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,-9461.427734375
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,-11474.568359375
C[C@]12CC(=O)[C@@]1(C#N)N2,-11341.4677734375
[NH-]C1=C[CH-][C@@H](O)CCO1,-11948.0478515625
C[NH2+][C@@H](C)OC(C)=O,-10912.60546875
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,-12487.9072265625
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,-11542.6328125
CC[C@@H](C)[C@@H](CC)OC,-10630.9951171875
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,-11947.85546875
O=CCc1ccncn1,-11343.37890625
CC[C@H]1C[C@@H](CO)CO1,-11576.4150390625
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,-10363.693359375
CC(=O)NCC[C@H]1CO1,-11980.8388671875
N#C[C@@H]1C[C@@H](O)C[C@H]1O,-11948.380859375
CNC(=O)COC(C)C,-12014.0576171875
C[C@H]1C[C@]12C=CCCC2,-9555.57421875
N#CC1(O)CCCC1,-9901.77734375
CC[C@]12[C@@H](O)[C@@H]3C14OC342,-11508.298828125
O[C@H]1[C@@H]2CC=C[C@H]1CC2,-10533.7314453125
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,-10532.802734375
CCOC(=O)NC,-9876.45703125
CCC(=O)[C@H]1OC[C@H]1O,-12521.294921875
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,-11477.24609375
CCc1conc1CC,-10970.275390625
CC#CC(=O)OCCO,-12488.703125
C[C@]12CO[C@H]1[C@@H](CO)N2,-11979.048828125
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10870.064453125
CC1(C)CCOCO1,-10507.517578125
O=C1OC[C@@H]1NCCO,-12958.36328125
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,-11809.904296875
C#C[C@H](C)[C@H]1COC1=O,-11477.95703125
COCCC1(CO)CC1,-11575.32421875
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,-12487.458984375
C[C@@]1(C=O)OCOC1[NH-],-12926.283203125
C[C@H]1C[C@H]2C[C@]1(O)C2,-9496.6259765625
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,-10936.326171875
C[N@@H+](CC=O)C1CC1,-9932.7421875
CCc1ccnc(O)c1,-10939.59375
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,-10532.0810546875
C[C@H]1C=CC[C@@H]2C[C@H]1O2,-10533.09765625
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,-12488.4091796875
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,-12487.6064453125
C[C@]12CC[C@H]1CC(=O)C2,-10533.8984375
O=C1OCC=CC[C@@H]1O,-12489.6787109375
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,-10935.4755859375
C[C@@H]([NH-])OC(=O)C=O,-11857.5341796875
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,-8485.8857421875
OC[C@H]1[C@@H]2CO[C@H]1C2,-10473.5283203125
Cn1c(CO)cnc1O,-12385.6552734375
CO[C@H]1C[C@@H](O)[C@@]12CN2,-11978.9365234375
C[C@H]1C[C@H]2C[C@]21CC#N,-9959.302734375
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,-10902.734375
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,-10466.7255859375
CC[C@](C)(C=O)CO,-10507.388671875
CC[C@]12O[C@H]1C=C[C@H]2O,-11510.5791015625
C#C[C@H]1C=CC[C@@]12CN2,-9925.3310546875
C[C@H]1CCN(C)C(=O)O1,-11982.126953125
CC1(C)[C@H](C=O)C[C@@H]1O,-11543.560546875
C[C@@]1(CO)C[C@H]1[C@H]1CO1,-11542.3662109375
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,-10531.6171875
O[C@@H]1C=CC2(CC2)C1,-9463.88671875
N#CCCC1C23CC12O3,-10935.7041015625
C[C@@]1(C#N)OC[C@H]2O[C@H]21,-11915.0859375
C[C@H]1O[C@@]12COC([NH-])C2,-11948.0322265625
C#C[C@]1(CC)C[C@H]2O[C@H]21,-10498.3984375
C#CC1=CC(=O)NCC1,-10905.236328125
C[C@H](C=O)CCO,-9438.267578125
CN1CCOC1=O,-9843.9052734375
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,-11946.9765625
C[C@@]1(O)CC[C@H]1C=O,-10474.5615234375
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,-9522.2587890625
C[C@H]1N[C@@]12COC21CC1,-10968.279296875
COC(=O)[C@H]1N[C@H]1C#N,-12352.359375
N=CNc1cnon1,-11178.216796875
C#CC[C@@H]1O[C@@H]1CC=O,-11476.77734375
O=CN1CCCNC1=O,-12386.7197265625
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,-10935.7490234375
Cc1c[nH]c(N)c1C,-9361.2353515625
CC1(NC(=O)C=O)CC1,-11948.5517578125
CC1(C)[C@@H]2C[C@H]1OC2=O,-11511.4921875
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,-11341.267578125
C[C@@]1(C[C@@H](O)C=O)CN1,-11980.0849609375
N#Cc1c[nH]cc1N,-9733.15625
O=c1ncc(CO)no1,-13329.505859375
CC(C)[C@H]1C[C@@H](O)C1=O,-11543.8310546875
CCC(=O)C(=O)N(C)C,-11981.7021484375
CNc1ncoc1C,-10338.7646484375
CC(C)(O)CCCCO,-11608.9287109375
NC(=O)C1=CCCCC1,-10971.70703125
C#C[C@@H](CC#N)C1CC1,-9925.8759765625
CN(C)C(=O)[C@H]1CCO1,-11980.4130859375
N#CC#C[C@H](C#N)CN,-10767.6357421875
NC(=O)N1[C@@H]2C=CC[C@@H]21,-11374.921875
C#C[C@@]1(C)[C@H](O)[C@@H]1C,-9462.6845703125
C#C[C@@](N)(C#N)CCC,-10395.486328125
CC1=CN(C=O)C[C@H]1O,-11948.9072265625
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,-10935.6728515625
N#CCNc1ncon1,-12215.7333984375
C[C@H]1CCC[C@H]1C=O,-9497.4765625
CC1=CCCNCC1=O,-10970.55859375
N#C[C@@H]1OC(=O)C[C@@H]1N,-12353.427734375
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,-11881.7685546875
C#C[C@H](CC(N)=O)OC,-11947.498046875
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,-10968.9150390625
C#C[C@@]12C[C@@H]1CO[C@@H]2C,-10499.4765625
CCOC(=O)C1CCC1,-11544.39453125
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,-10496.822265625
CCN[C@H](C#N)CNC,-10898.458984375
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,-10970.37890625
CCCC[N@@H+](C)CC#N,-10461.767578125
CC1(C)C[C@]12C[C@H](C)C2,-9587.587890625
O=C1N[C@H]2CO[C@@H]12,-9809.4150390625
C[C@H]1O[C@H]1[C@H]1CCC1=O,-11510.572265625
CN[C@@H](C=O)[C@@H](C)C#N,-11407.2451171875
C[NH2+]C1C[C@@H](CO)CO1,-11980.857421875
CO[C@]12C=CC[C@H]1[C@H]2O,-11510.185546875
O=C1C=CC(=O)[C@@H]2C[C@H]12,-11446.7578125
COc1coc(C#N)c1,-11883.2568359375
CC1(C)[C@H](C#N)[C@@H]1O,-9901.1396484375
O=C1CC[C@H](CO)CN1,-11981.7578125
CC[C@H]1CO[C@H]1CC#N,-10969.951171875
[NH-]C1OC=C(N)N=C1F,-13443.447265625
C#CC#C[C@@H]1C[N@@H+]1C,-8855.376953125
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,-10564.7890625
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,-11510.7392578125
Cc1[nH]c(O)nc1CO,-12386.083984375
Cn1nnc(O)nc1=O,-13226.6796875
O=CC[C@H]1OC12CCC2,-11510.3203125
N#C[C@H]1CCC2(CC2)C1,-9960.0625
OCC#Cc1cn[nH]n1,-11777.654296875
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,-11510.048828125
NCc1nc(N)co1,-10775.560546875
Cc1ccc(CCO)o1,-11511.8466796875
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,-9522.001953125
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,-11947.7685546875
O=Cc1ccn[nH]c1=O,-12320.7666015625
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,-10935.5283203125
O=C[C@H](O)CC#CCO,-12487.775390625
CC[NH2+]C(C)OCCO,-12013.2802734375
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,-9892.2451171875
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,-11915.146484375
CC1=C[C@H]2CC[C@H]2C1,-8486.53515625
N#CC[C@]1(O)COC1[NH-],-12352.2763671875
C#CCOc1nn[nH]n1,-12213.798828125
CC[C@@H](C)O[C@@H](C)CO,-11608.892578125
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,-10532.3466796875
CC(=O)[C@]12C[C@H]1NC2=O,-11915.6533203125
C#CC[C@@]1(C)C[C@@H]1CC,-9554.15234375
C#CC1(CCCC)CC1,-9554.17578125
NC1=CC(=O)NC12CC2,-11375.3408203125
NC(=O)[C@@H](O)COC=O,-13937.7255859375
NC(=O)[C@]12CO[C@H](C1)C2,-11948.126953125
CNC1=CC(C)[C@H](C)O1,-10970.9970703125
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,-11948.1630859375
C[C@H](C=O)CC[NH+]1CC1,-11001.9833984375
FC(F)(F)c1ccno1,-15865.056640625
C[C@H]1[N@H+]2C[C@H]2CC12CC2,-9991.4287109375
C[C@]12OCC(=O)[C@H]1[C@H]2O,-12488.7861328125
Nc1[nH]ncc1CC=O,-11812.029296875
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,-10936.02734375
Cn1cc(N)cc1CO,-11407.423828125
CCN[C@@H]1C([NH-])O[C@@H]1C,-11439.4345703125
CN(C=N)c1ccon1,-11811.1015625
OC1C=C2[C@@H]3C[C@@H]3N2N1,-11340.39453125
C[C@H]1CC([NH-])NC(=O)O1,-12386.84765625
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,-10301.1806640625
C[C@@]1(C=O)[NH2+][CH+]OC1=O,-12894.505859375
CCOC1(C#N)COC1,-11947.22265625
Nc1nc(=O)c(F)no1,-14421.0029296875
O=C1N[C@H](CO)[C@@H]2CN12,-12385.0927734375
C#C[C@H]1OCC12CCC2,-10498.4482421875
C1COCC2(C1)CCC2,-10565.7783203125
C#C[C@@H]1[C@H](O)C[C@H]1NO,-11912.5888671875
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,-10901.37109375
CCC[C@H]1OCOC1[NH-],-11981.076171875
N#C[C@@H]1C[C@H](NO)[C@@H]1O,-12350.880859375
CCO/C(=N/C)NC=O,-12418.255859375
ONc1c[cH+]oc(F)c1,-13546.359375
COC[C@H]1OCC[C@H]1C,-11576.0859375
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,-12553.4072265625
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,-9429.9140625
C[NH2+][CH+]OCC=O,-9842.283203125
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,-8485.41796875
CN(C=O)[C@H]1CCOC1,-11981.0810546875
NC(=O)c1ccc(N)[nH]1,-11813.19921875
C1=CCc2[nH]cnc2C1,-10365.4814453125
O=C1CCCOCOC1,-12521.5537109375
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,-12487.8212890625
CC[C@@H](C)c1ccno1,-10970.2255859375
CN1CCc2n[nH]cc21,-10833.6669921875
Cc1c[nH]nc(C)c1=O,-11375.6318359375
C#CCC#CCC1CC1,-9487.6728515625
N#CC[C@@H]1[C@H](O)C[C@@H]1O,-11947.7890625
O=c1cccco1,-9341.8330078125
CC(=O)c1cncnc1,-11343.640625
C#C[C@]1(C)C[C@]1(C)C#N,-9926.107421875
C#Cc1cc(N)on1,-10271.6328125
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,-11406.1533203125
CCOc1n[nH]nc1C,-11844.2431640625
O[C@]12CCC[NH2+][C@H]1OC2,-11947.673828125
C[N@H+]1C[C@H]1COCC=O,-11979.2412109375
C[C@@H](CCO)C(=O)C#N,-11948.23828125
N=CN1CC(=O)CC1=O,-12353.642578125
C[C@H]1OC(=O)N[C@H]1C=O,-12927.4228515625
O[C@]12C[C@H]1C=C1CC[C@H]12,-10499.3349609375
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,-10967.583984375
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,-10935.9326171875
C[C@@]12CC(=O)CO[C@@H]1C2,-11511.140625
OC[C@H]1CC[C@H]2C[C@@H]1C2,-10565.521484375
C[C@H]1N[C@@]12CCCC2=O,-10970.595703125
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,-12352.7646484375
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,-12519.8818359375
OC[C@H]1CC[C@@H](O)C1,-10507.373046875
N#CCC[C@]1(CO)CO1,-11947.5419921875
C[C@H]1[C@@H](C#N)[C@H]1C#N,-9295.248046875
CCC#C[C@H]1[C@H]2CC[C@@H]12,-9521.1416015625
CCC1=C(C#N)COC1,-10938.0908203125
CC[C@]12C[C@](C#N)(C1)N2,-10395.17578125
CC1=C[C@H]2C[C@]1(C=O)C2,-10499.884765625
C[C@H]1NC(=O)N[C@H]2C[C@H]21,-11408.1455078125
O=CO[C@H]1CCNC1=O,-12927.51953125
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,-12351.2587890625
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,-11512.107421875
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,-9521.380859375
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,-12925.1962890625
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,-11945.8349609375
C[C@H]1CC[C@]1(O)CC#N,-10970.31640625
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,-11979.8662109375
C[C@H]1OC([NH-])[C@]1(C)C#N,-11374.8251953125
OCC[C@@]1(O)C[N@H+]2C[C@H]21,-11978.724609375
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,-10936.1962890625
COC[C@]12CO[C@H]1CN2,-11978.6748046875
C[C@H]1C[C@H]2CC[C@]21O,-9496.05859375
O=C1C[C@H]2O[C@H]2CN1,-10879.5830078125
OCC#CC12C[NH+](C1)C2,-10933.96484375
O=COCc1cnco1,-12894.3154296875
N[C@@]1(CCO)COC1=O,-12958.5498046875
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,-9833.4658203125
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,-13531.3916015625
c1nc([C@H]2CCO2)co1,-11915.4091796875
CC(C)N(C)C(=N)C=O,-11439.75
C#CCc1nc(O)no1,-12318.716796875
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,-11478.603515625
CC#C[C@H]1C[C@H](CC)C1,-9554.478515625
C[NH2+]C1COC(=O)N1C,-12386.5537109375
C[C@H]1C[C@@H](O)C=CCO1,-11543.4599609375
N#C[C@H]1NC[C@H]2CN[C@H]21,-10832.884765625
C#CCc1cc[nH]n1,-9294.4248046875
C#C[C@@]1(C=O)C[C@@H]1O,-10408.14453125
CC[C@]12O[C@H]1C=CC2=O,-11478.443359375
O=c1cncn[nH]1,-9673.9677734375
CC[C@]12C[C@H](CO1)CO2,-11544.109375
O[C@H]1[C@@H]2CC[C@@]1(O)C2,-10474.21484375
CC1=NOC([NH-])=C[CH+]1C,-11374.32421875
O=C1CC2(CO2)C1,-9372.3427734375
CC1=CC[C@@H]2O[C@H]1C2=O,-11478.353515625
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,-11509.7998046875
CNC(=O)CO[CH+][NH-],-11349.01171875
CC[C@H]1OC[C@H]1CC#N,-10969.9970703125
O=C[C@H](CO)OCCO,-13531.3818359375
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,-11371.3974609375
CC(C)(C#N)C1(O)CC1,-10970.07421875
CC[C@]12C[C@H]1[C@H]1C[C@H]12,-8484.353515625
NC(=O)c1ncccn1,-11780.98828125
O=C[C@H]1OCOC12CC2,-12488.20703125
O[C@H]1CC[C@]2(CO2)C1,-10474.2646484375
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,-11979.2568359375
CCC#Cc1cocn1,-10904.9658203125
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,-11510.703125
CO[C@H]1CCOC1(C)C,-11576.28515625
O[C@@H]1[C@H](O)[C@]12CCCO2,-12520.6904296875
C1=Cc2[nH]nnc2OC1,-11778.5888671875
O[C@H]1CCC[C@H]2N[C@@H]12,-9933.419921875
CC(=O)[C@H]1OC([NH-])[C@H]1O,-12925.9306640625
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,-10564.8466796875
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,-12923.908203125
C[C@@H]1CC[C@H](C)N1C=O,-11004.0576171875
N#C[C@H]1CCCCN1,-9360.728515625
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,-11474.00390625
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,-12488.134765625
NC1=CN[C@@H]2[C@@H](O)CN12,-11810.9296875
Nc1nn[nH]c1[C@H]1CN1,-11706.4345703125
CCCO[C@@H](C)[C@H]1CO1,-11575.4462890625
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,-10395.564453125
O[C@H]1C[C@H]2CCC[C@@H]1C2,-10566.56640625
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,-9520.515625
C#C[C@H](O)[C@H](C=O)CC,-11509.98046875
O=C1/C=C\NCCCO1,-11948.4228515625
CO[C@H](C1CC1)[C@@H](C)O,-11575.4384765625
CC1=CCC[C@@]2(C)N[C@@H]12,-9992.2998046875
C#Cc1c(C)coc1N,-10904.8798828125
C[C@H]1C[C@H]2[N@@H+]1C21COC1,-10968.10546875
CC1=CCC([NH-])OC1,-9901.6513671875
C#C[C@@]1(N)C[C@@]1(C)C#N,-10362.7685546875
CC[C@H]1CN=COC1=O,-11949.2509765625
C[C@]12N[C@H]1[C@@H](C#N)[C@H]2N,-10832.6005859375
O=C1C[C@H]2O[C@H]3[C@@H](N1)[C@H]32,-11915.203125
O=C[C@@H]1[NH2+][CH+]O[C@@H]1C=O,-12893.5322265625
