smiles,Delta_epsilon
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,5.798746109008789
C[C@@]1(C=O)OCOC1[NH-],6.04909086227417
C[C@H]1C[C@H]2C[C@]1(O)C2,8.957987785339355
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,5.918476581573486
C[N@@H+](CC=O)C1CC1,5.175605773925781
CCc1ccnc(O)c1,5.825957775115967
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,7.888580799102783
C[C@H]1C=CC[C@@H]2C[C@H]1O2,7.181085109710693
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,5.923918724060059
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,8.778392791748047
C[C@]12CC[C@H]1CC(=O)C2,6.057254314422607
O=C1OCC=CC[C@@H]1O,7.004210948944092
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,6.253176689147949
C[C@@H]([NH-])OC(=O)C=O,4.879001140594482
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,9.09404468536377
OC[C@H]1[C@@H]2CO[C@H]1C2,8.348453521728516
Cn1c(CO)cnc1O,6.669510841369629
CO[C@H]1C[C@@H](O)[C@@]12CN2,8.32124137878418
C[C@H]1C[C@H]2C[C@]21CC#N,8.144367218017578
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,6.133446216583252
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,4.615050792694092
CC[C@](C)(C=O)CO,6.084465980529785
CC[C@]12O[C@H]1C=C[C@H]2O,6.443655967712402
C#C[C@H]1C=CC[C@@]12CN2,6.917134761810303
C[C@H]1CCN(C)C(=O)O1,8.011032104492188
CC1(C)[C@H](C=O)C[C@@H]1O,5.964735984802246
C[C@@]1(CO)C[C@H]1[C@H]1CO1,9.0341796875
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,8.209674835205078
O[C@@H]1C=CC2(CC2)C1,6.694001197814941
N#CCCC1C23CC12O3,7.61374568939209
C[C@@]1(C#N)OC[C@H]2O[C@H]21,8.147089004516602
C[C@H]1O[C@@]12COC([NH-])C2,7.662726402282715
C#C[C@]1(CC)C[C@H]2O[C@H]21,8.065455436706543
C#CC1=CC(=O)NCC1,5.020500659942627
C[C@H](C=O)CCO,6.185148239135742
CN1CCOC1=O,8.231444358825684
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,5.790582656860352
C[C@@]1(O)CC[C@H]1C=O,5.981062412261963
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,6.661347389221191
C[C@H]1N[C@@]12COC21CC1,7.953887462615967
COC(=O)[C@H]1N[C@H]1C#N,6.993326187133789
N=CNc1cnon1,5.638199329376221
C#CC[C@@H]1O[C@@H]1CC=O,6.106235027313232
O=CN1CCCNC1=O,6.47086763381958
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,5.542959213256836
Cc1c[nH]c(N)c1C,6.723933219909668
CC1(NC(=O)C=O)CC1,4.672194957733154
CC1(C)[C@@H]2C[C@H]1OC2=O,7.450477123260498
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,6.250455379486084
C[C@@]1(C[C@@H](O)C=O)CN1,6.095350742340088
N#Cc1c[nH]cc1N,5.431392669677734
O=c1ncc(CO)no1,4.533416748046875
CC(C)[C@H]1C[C@@H](O)C1=O,5.981062412261963
CCC(=O)C(=O)N(C)C,5.083086967468262
CNc1ncoc1C,5.504863262176514
CC(C)(O)CCCCO,8.849142074584961
NC(=O)C1=CCCCC1,6.016437530517578
C#C[C@@H](CC#N)C1CC1,8.274982452392578
CN(C)C(=O)[C@H]1CCO1,7.080402374267578
N#CC#C[C@H](C#N)CN,5.796025276184082
NC(=O)N1[C@@H]2C=CC[C@@H]21,6.48447322845459
C#C[C@@]1(C)[C@H](O)[C@@H]1C,7.785177230834961
C#C[C@@](N)(C#N)CCC,7.349795341491699
CC1=CN(C=O)C[C@H]1O,5.66541051864624
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,8.408317565917969
N#CCNc1ncon1,6.236849784851074
C[C@H]1CCC[C@H]1C=O,6.138888835906982
CC1=CCCNCC1=O,4.511647701263428
N#C[C@@H]1OC(=O)C[C@@H]1N,6.857269287109375
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,7.417823791503906
C#C[C@H](CC(N)=O)OC,7.031421661376953
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,8.190627098083496
C#C[C@@]12C[C@@H]1CO[C@@H]2C,7.834157943725586
CCOC(=O)C1CCC1,7.510342121124268
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,8.04096508026123
CCN[C@H](C#N)CNC,7.254555702209473
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,7.360680103302002
CCCC[N@@H+](C)CC#N,7.031421661376953
CC1(C)C[C@]12C[C@H](C)C2,8.979757308959961
O=C1N[C@H]2CO[C@@H]12,6.751144886016846
C[C@H]1O[C@H]1[C@H]1CCC1=O,6.059975624084473
CN[C@@H](C=O)[C@@H](C)C#N,5.409623622894287
C[NH2+]C1C[C@@H](CO)CO1,7.488573551177978
CO[C@]12C=CC[C@H]1[C@H]2O,6.264060974121094
O=C1C=CC(=O)[C@@H]2C[C@H]12,4.410965919494629
COc1coc(C#N)c1,5.2164225578308105
CC1(C)[C@H](C#N)[C@@H]1O,8.04096508026123
O=C1CC[C@H](CO)CN1,7.279046058654785
CC[C@H]1CO[C@H]1CC#N,8.011032104492188
[NH-]C1OC=C(N)N=C1F,3.8640170097351074
C#CC#C[C@@H]1C[N@@H+]1C,5.559286117553711
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,8.636894226074219
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,6.511684417724609
Cc1[nH]c(O)nc1CO,6.411002159118652
Cn1nnc(O)nc1=O,4.726617813110352
O=CC[C@H]1OC12CCC2,6.106235027313232
N#C[C@H]1CCC2(CC2)C1,8.685874938964844
OCC#Cc1cn[nH]n1,5.918476581573486
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,7.981099605560303
NCc1nc(N)co1,5.700785160064697
Cc1ccc(CCO)o1,6.220522880554199
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,6.696722030639648
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,6.930739879608154
O=Cc1ccn[nH]c1=O,4.024563789367676
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,8.367501258850098
O=C[C@H](O)CC#CCO,5.616430282592773
CC[NH2+]C(C)OCCO,7.477688789367676
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,4.898049831390381
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,6.8844804763793945
CC1=C[C@H]2CC[C@H]2C1,6.996047019958496
N#CC[C@]1(O)COC1[NH-],7.60558271408081
C#CCOc1nn[nH]n1,6.280387878417969
CC[C@@H](C)O[C@@H](C)CO,8.67771053314209
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,8.873632431030273
CC(=O)[C@]12C[C@H]1NC2=O,6.030043125152588
C#CC[C@@]1(C)C[C@@H]1CC,8.440972328186035
C#CC1(CCCC)CC1,8.049127578735352
NC1=CC(=O)NC12CC2,5.883101463317871
NC(=O)[C@@H](O)COC=O,7.142988204956055
NC(=O)[C@]12CO[C@H](C1)C2,7.246391773223877
CNC1=CC(C)[C@H](C)O1,5.640920639038086
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,7.472246646881103
C[C@H](C=O)CC[NH+]1CC1,5.972899436950684
FC(F)(F)c1ccno1,6.715770244598389
C[C@H]1[N@H+]2C[C@H]2CC12CC2,8.528048515319824
C[C@]12OCC(=O)[C@H]1[C@H]2O,5.883101463317871
Nc1[nH]ncc1CC=O,4.819136619567871
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,8.051848411560059
Cn1cc(N)cc1CO,5.885822772979736
CCN[C@@H]1C([NH-])O[C@@H]1C,6.952508926391602
CN(C=N)c1ccon1,5.610987663269043
OC1C=C2[C@@H]3C[C@@H]3N2N1,5.910312652587891
C[C@H]1CC([NH-])NC(=O)O1,7.023258686065674
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,4.138851642608643
C[C@@]1(C=O)[NH2+][CH+]OC1=O,5.874938488006592
CCOC1(C#N)COC1,7.572928428649902
Nc1nc(=O)c(F)no1,5.404181003570557
O=C1N[C@H](CO)[C@@H]2CN12,7.853205680847168
C#C[C@H]1OCC12CCC2,7.355237483978271
C1COCC2(C1)CCC2,8.791998863220215
C#C[C@@H]1[C@H](O)C[C@H]1NO,6.685837745666504
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,7.194690704345703
CCC[C@H]1OCOC1[NH-],7.850484848022461
N#C[C@@H]1C[C@H](NO)[C@@H]1O,6.590597629547119
CCO/C(=N/C)NC=O,6.400117874145508
ONc1c[cH+]oc(F)c1,4.821857452392578
COC[C@H]1OCC[C@H]1C,8.707643508911133
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,8.236886978149414
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,6.770192623138428
C[NH2+][CH+]OCC=O,5.997389793395996
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,10.378421783447266
CN(C=O)[C@H]1CCOC1,7.123940467834473
NC(=O)c1ccc(N)[nH]1,5.004173755645752
C1=CCc2[nH]cnc2C1,6.408281326293945
O=C1CCCOCOC1,5.904870510101318
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,5.972899436950684
CC[C@@H](C)c1ccno1,6.669510841369629
CN1CCc2n[nH]cc21,5.687179565429688
Cc1c[nH]nc(C)c1=O,5.200095653533936
C#CCC#CCC1CC1,7.823273181915283
N#CC[C@@H]1[C@H](O)C[C@@H]1O,8.400155067443848
O=c1cccco1,4.865396022796631
CC(=O)c1cncnc1,5.020500659942627
C#C[C@]1(C)C[C@]1(C)C#N,7.602860927581787
C#Cc1cc(N)on1,5.502141952514648
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,6.79468297958374
CCOc1n[nH]nc1C,6.304878234863281
O[C@]12CCC[NH2+][C@H]1OC2,6.870874881744385
C[N@H+]1C[C@H]1COCC=O,5.526632308959961
C[C@@H](CCO)C(=O)C#N,5.2490763664245605
N=CN1CC(=O)CC1=O,5.2980570793151855
C[C@H]1OC(=O)N[C@H]1C=O,5.842284679412842
O[C@]12C[C@H]1C=C1CC[C@H]12,6.234128475189209
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,8.560701370239258
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,5.583776473999023
C[C@@]12CC(=O)CO[C@@H]1C2,5.733438968658447
OC[C@H]1CC[C@H]2C[C@@H]1C2,9.153910636901855
C[C@H]1N[C@@]12CCCC2=O,5.964735984802246
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,6.979720592498779
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,8.152531623840332
OC[C@H]1CC[C@@H](O)C1,8.830094337463379
N#CCC[C@]1(CO)CO1,8.495394706726074
C[C@H]1[C@@H](C#N)[C@H]1C#N,8.076338768005371
CCC#C[C@H]1[C@H]2CC[C@@H]12,7.670889377593994
CCC1=C(C#N)COC1,5.621871948242188
CC[C@]12C[C@](C#N)(C1)N2,7.330747127532959
CC1=C[C@H]2C[C@]1(C=O)C2,5.523910999298096
C[C@H]1NC(=O)N[C@H]2C[C@H]21,7.87769603729248
O=CO[C@H]1CCNC1=O,6.974278450012207
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,5.464046478271484
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,7.575649738311768
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,6.723933219909668
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,5.624593257904053
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,5.847726821899414
C[C@H]1CC[C@]1(O)CC#N,8.108993530273438
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,7.355237483978271
C[C@H]1OC([NH-])[C@]1(C)C#N,7.632793426513672
OCC[C@@]1(O)C[N@H+]2C[C@H]21,7.864090442657471
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,8.089944839477539
COC[C@]12CO[C@H]1CN2,7.662726402282715
C[C@H]1C[C@H]2CC[C@]21O,8.661384582519531
O=C1C[C@H]2O[C@H]2CN1,7.488573551177978
OCC#CC12C[NH+](C1)C2,7.009653091430664
O=COCc1cnco1,6.468146324157715
N[C@@]1(CCO)COC1=O,7.042306423187256
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,6.1933112144470215
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,7.431428909301758
c1nc([C@H]2CCO2)co1,6.639578342437744
CC(C)N(C)C(=N)C=O,4.326610088348389
C#CCc1nc(O)no1,6.5633864402771
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,6.092629432678223
CC#C[C@H]1C[C@H](CC)C1,7.991984367370605
C[NH2+]C1COC(=O)N1C,6.707606792449951
C[C@H]1C[C@@H](O)C=CCO1,6.802846431732178
N#C[C@H]1NC[C@H]2CN[C@H]21,7.19196891784668
C#CCc1cc[nH]n1,7.213738441467285
C#C[C@@]1(C=O)C[C@@H]1O,5.439556121826172
CC[C@]12O[C@H]1C=CC2=O,4.623214244842529
O=c1cncn[nH]1,4.5415802001953125
CC[C@]12C[C@H](CO1)CO2,8.966151237487793
O[C@H]1[C@@H]2CC[C@@]1(O)C2,8.620567321777344
CC1=NOC([NH-])=C[CH+]1C,4.5388593673706055
O=C1CC2(CO2)C1,5.907591819763184
CC1=CC[C@@H]2O[C@H]1C2=O,5.847726821899414
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,8.043685913085938
CNC(=O)CO[CH+][NH-],6.928018569946289
CC[C@H]1OC[C@H]1CC#N,7.809667587280273
O=C[C@H](CO)OCCO,5.839563369750977
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,5.243634223937988
CC(C)(C#N)C1(O)CC1,8.261377334594727
CC[C@]12C[C@H]1[C@H]1C[C@H]12,7.828715801239014
NC(=O)c1ncccn1,5.061317920684815
O=C[C@H]1OCOC12CC2,5.883101463317871
O[C@H]1CC[C@]2(CO2)C1,8.786556243896484
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,7.736196994781494
CCC#Cc1cocn1,5.806910037994385
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,8.843700408935547
CO[C@H]1CCOC1(C)C,8.713085174560547
O[C@@H]1[C@H](O)[C@]12CCCO2,7.17836332321167
C1=Cc2[nH]nnc2OC1,4.568791389465332
O[C@H]1CCC[C@H]2N[C@@H]12,8.495394706726074
CC(=O)[C@H]1OC([NH-])[C@H]1O,5.63275671005249
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,8.601518630981445
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,6.370185375213623
C[C@@H]1CC[C@H](C)N1C=O,7.1838059425354
N#C[C@H]1CCCCN1,7.270882129669189
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,7.284487724304199
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,7.864090442657471
NC1=CN[C@@H]2[C@@H](O)CN12,6.087186813354492
Nc1nn[nH]c1[C@H]1CN1,5.714390754699707
CCCO[C@@H](C)[C@H]1CO1,9.238265991210938
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,6.555222511291504
O[C@H]1C[C@H]2CCC[C@@H]1C2,8.93621826171875
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,9.63555145263672
C#C[C@H](O)[C@H](C=O)CC,6.013716220855713
O=C1/C=C\NCCCO1,5.29533576965332
CO[C@H](C1CC1)[C@@H](C)O,8.631451606750488
CC1=CCC[C@@]2(C)N[C@@H]12,6.536174774169922
C#Cc1c(C)coc1N,5.534795761108398
C[C@H]1C[C@H]2[N@@H+]1C21COC1,8.364779472351074
CC1=CCC([NH-])OC1,7.045027256011963
C#C[C@@]1(N)C[C@@]1(C)C#N,7.510342121124268
CC[C@H]1CN=COC1=O,6.762029647827148
C[C@]12N[C@H]1[C@@H](C#N)[C@H]2N,7.32258415222168
O=C1C[C@H]2O[C@H]3[C@@H](N1)[C@H]32,7.012373924255371
O=C[C@@H]1[NH2+][CH+]O[C@@H]1C=O,5.483094215393066
OC[C@]1(O)[C@H](O)[C@@H]2O[C@@H]21,8.119877815246582
O=CNC(=O)C(=O)CO,4.459946155548096
C#Cc1cn[nH+]c([NH-])n1,3.6817004680633545
CC[C@@]12[C@H]3[C@@H]4[C@@H]([N@@H+]41)[C@]32O,7.270882129669189
