smiles,G
N#C[C@H]1O[C@H]2CO[C@@H]1C2,-11916.486328125
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,-11405.0546875
COC(=O)[C@H](C#N)CN,-12387.025390625
C[C@H]1C=C[C@H]2C34OC23[C@H]14,-10499.9716796875
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10407.71484375
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,-10533.5205078125
C#C[C@@H]1COC([NH-])[C@H]1O,-11915.83203125
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,-11912.533203125
CCN1C(=O)[C@]2(C)C[C@H]12,-10971.248046875
Oc1cc(N2CC2)n[nH]1,-11811.9931640625
O=C1Cn2cncc2O1,-12322.263671875
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,-9992.59375
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,-11511.7392578125
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,-9900.2724609375
C[C@]12CNC1=CC(=O)N2,-11375.6982421875
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,-9991.4892578125
C#C[C@@]12OC[C@@H]1C[C@@H]2C,-10499.7626953125
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,-12487.34375
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,-9900.3583984375
C[N@H+]1CC(=O)[C@H]2C[C@]21C,-10971.3740234375
NC(=O)[C@H]1CC12COC2,-11949.0029296875
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,-10363.7041015625
[NH-]c1cc(F)[nH+]cc1N,-12467.18359375
COC[C@@H](C)[C@H]1CCO1,-11576.6728515625
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,-11948.0126953125
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,-11544.33203125
CC#C[C@@H](C)C1CC1,-8486.5400390625
C[C@]1(CO)C=CC(=O)O1,-12491.306640625
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,-11372.3623046875
C#CC(=O)[C@@H](C)CC=O,-11479.1826171875
O[C@H]1CC=C2CCO[C@H]21,-11512.0771484375
O=C1CCc2ocnc21,-11885.1767578125
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,-10937.42578125
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,-10970.52734375
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,-11512.0380859375
N#C[C@H](O)c1ccco1,-11884.45703125
O=CNC1=CCC[C@@H]1O,-11950.193359375
COCCCCCO,-10540.71875
CCNC1=C(C)[CH-]CO1,-10972.17578125
C[CH+]1C=CC([NH-])OC1O,-11917.66796875
O=C1C(=O)[C@H]2CC[C@@H]1N2,-11917.0595703125
NC(=O)[C@H]1O[C@H]1C1CC1,-11948.927734375
C#CCc1c[nH]nc1C,-10364.810546875
N#CC(=O)c1nc[nH]n1,-12185.068359375
C[C@H]1N[C@]2(C[C@H]2O)C1=O,-11948.41796875
CCC1(C)C23CC12O3,-9495.912109375
COCCn1cnnc1,-11845.07421875
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,-10868.515625
O=C[C@]12C=C[C@H](C1)[C@@H]2O,-11478.47265625
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,-12457.671875
CC[C@@](C)(OC)C(C)C,-10632.3486328125
O=C1OCCC=C1CO,-12491.0419921875
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,-11373.8330078125
CC[C@H]1C[C@]1(O)CCO,-11576.9892578125
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,-9462.513671875
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,-11475.5849609375
C[C@]12CC(=O)[C@@]1(C#N)N2,-11342.611328125
[NH-]C1=C[CH-][C@@H](O)CCO1,-11949.2041015625
C[NH2+][C@@H](C)OC(C)=O,-10913.8701171875
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,-12489.1015625
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,-11543.814453125
CC[C@@H](C)[C@@H](CC)OC,-10632.3935546875
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,-11949.0
O=CCc1ccncn1,-11344.5234375
CC[C@H]1C[C@@H](CO)CO1,-11577.677734375
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,-10364.7900390625
CC(=O)NCC[C@H]1CO1,-11982.1845703125
N#C[C@@H]1C[C@@H](O)C[C@H]1O,-11949.6025390625
CNC(=O)COC(C)C,-12015.42578125
C[C@H]1C[C@]12C=CCCC2,-9556.7392578125
N#CC1(O)CCCC1,-9902.9013671875
CC[C@]12[C@@H](O)[C@@H]3C14OC342,-11509.453125
O[C@H]1[C@@H]2CC=C[C@H]1CC2,-10534.8251953125
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,-10533.998046875
CCOC(=O)NC,-9877.650390625
CCC(=O)[C@H]1OC[C@H]1O,-12522.5498046875
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,-11478.2568359375
CCc1conc1CC,-10971.5166015625
CC#CC(=O)OCCO,-12490.0908203125
C[C@]12CO[C@H]1[C@@H](CO)N2,-11980.2392578125
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10871.0849609375
CC1(C)CCOCO1,-10508.62109375
O=C1OC[C@@H]1NCCO,-12959.599609375
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,-11811.052734375
C#C[C@H](C)[C@H]1COC1=O,-11479.162109375
COCCC1(CO)CC1,-11576.64453125
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,-12488.6396484375
C[C@@]1(C=O)OCOC1[NH-],-12927.46875
C[C@H]1C[C@H]2C[C@]1(O)C2,-9497.6923828125
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,-10937.4619140625
C[N@@H+](CC=O)C1CC1,-9933.947265625
CCc1ccnc(O)c1,-10940.7626953125
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,-10533.3095703125
C[C@H]1C=CC[C@@H]2C[C@H]1O2,-10534.2021484375
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,-12489.5693359375
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,-12488.6884765625
C[C@]12CC[C@H]1CC(=O)C2,-10535.06640625
O=C1OCC=CC[C@@H]1O,-12490.8037109375
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,-10936.5625
C[C@@H]([NH-])OC(=O)C=O,-11858.720703125
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,-8486.91015625
OC[C@H]1[C@@H]2CO[C@H]1C2,-10474.60546875
Cn1c(CO)cnc1O,-12386.9091796875
CO[C@H]1C[C@@H](O)[C@@]12CN2,-11980.1494140625
C[C@H]1C[C@H]2C[C@]21CC#N,-9960.4921875
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,-10903.79296875
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,-10467.7548828125
CC[C@](C)(C=O)CO,-10508.6435546875
CC[C@]12O[C@H]1C=C[C@H]2O,-11511.7373046875
C#C[C@H]1C=CC[C@@]12CN2,-9926.48046875
C[C@H]1CCN(C)C(=O)O1,-11983.328125
CC1(C)[C@H](C=O)C[C@@H]1O,-11544.814453125
C[C@@]1(CO)C[C@H]1[C@H]1CO1,-11543.6025390625
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,-10532.7880859375
O[C@@H]1C=CC2(CC2)C1,-9464.9794921875
N#CCCC1C23CC12O3,-10936.876953125
C[C@@]1(C#N)OC[C@H]2O[C@H]21,-11916.208984375
C[C@H]1O[C@@]12COC([NH-])C2,-11949.19921875
C#C[C@]1(CC)C[C@H]2O[C@H]21,-10499.5751953125
C#CC1=CC(=O)NCC1,-10906.3701171875
C[C@H](C=O)CCO,-9439.4716796875
CN1CCOC1=O,-9844.947265625
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,-11948.1796875
C[C@@]1(O)CC[C@H]1C=O,-10475.720703125
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,-9523.333984375
C[C@H]1N[C@@]12COC21CC1,-10969.4521484375
COC(=O)[C@H]1N[C@H]1C#N,-12353.5771484375
N=CNc1cnon1,-11179.2685546875
C#CC[C@@H]1O[C@@H]1CC=O,-11478.0556640625
O=CN1CCCNC1=O,-12387.8837890625
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,-10936.85546875
Cc1c[nH]c(N)c1C,-9362.4345703125
CC1(NC(=O)C=O)CC1,-11949.7861328125
CC1(C)[C@@H]2C[C@H]1OC2=O,-11512.609375
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,-11342.3642578125
C[C@@]1(C[C@@H](O)C=O)CN1,-11981.3271484375
N#Cc1c[nH]cc1N,-9734.22265625
O=c1ncc(CO)no1,-13330.6669921875
CC(C)[C@H]1C[C@@H](O)C1=O,-11545.091796875
CCC(=O)C(=O)N(C)C,-11983.0458984375
CNc1ncoc1C,-10339.919921875
CC(C)(O)CCCCO,-11610.302734375
NC(=O)C1=CCCCC1,-10972.8779296875
C#C[C@@H](CC#N)C1CC1,-9927.1103515625
CN(C)C(=O)[C@H]1CCO1,-11981.7158203125
N#CC#C[C@H](C#N)CN,-10768.873046875
NC(=O)N1[C@@H]2C=CC[C@@H]21,-11376.0302734375
C#C[C@@]1(C)[C@H](O)[C@@H]1C,-9463.875
C#C[C@@](N)(C#N)CCC,-10396.7724609375
CC1=CN(C=O)C[C@H]1O,-11950.10546875
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,-10936.673828125
N#CCNc1ncon1,-12216.8828125
C[C@H]1CCC[C@H]1C=O,-9498.6435546875
CC1=CCCNCC1=O,-10971.7666015625
N#C[C@@H]1OC(=O)C[C@@H]1N,-12354.5693359375
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,-11882.830078125
C#C[C@H](CC(N)=O)OC,-11948.7939453125
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,-10970.021484375
C#C[C@@]12C[C@@H]1CO[C@@H]2C,-10500.6220703125
CCOC(=O)C1CCC1,-11545.6953125
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,-10497.974609375
CCN[C@H](C#N)CNC,-10899.7880859375
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,-10971.54296875
CCCC[N@@H+](C)CC#N,-10463.10546875
CC1(C)C[C@]12C[C@H](C)C2,-9588.8369140625
O=C1N[C@H]2CO[C@@H]12,-9810.38671875
C[C@H]1O[C@H]1[C@H]1CCC1=O,-11511.7744140625
CN[C@@H](C=O)[C@@H](C)C#N,-11408.548828125
C[NH2+]C1C[C@@H](CO)CO1,-11982.12109375
CO[C@]12C=CC[C@H]1[C@H]2O,-11511.3427734375
O=C1C=CC(=O)[C@@H]2C[C@H]12,-11447.837890625
COc1coc(C#N)c1,-11884.3916015625
CC1(C)[C@H](C#N)[C@@H]1O,-9902.3046875
O=C1CC[C@H](CO)CN1,-11982.9521484375
CC[C@H]1CO[C@H]1CC#N,-10971.21875
[NH-]C1OC=C(N)N=C1F,-13444.55078125
C#CC#C[C@@H]1C[N@@H+]1C,-8856.5244140625
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,-10566.0244140625
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,-11511.8984375
Cc1[nH]c(O)nc1CO,-12387.275390625
Cn1nnc(O)nc1=O,-13227.7841796875
O=CC[C@H]1OC12CCC2,-11511.546875
N#C[C@H]1CCC2(CC2)C1,-9961.240234375
OCC#Cc1cn[nH]n1,-11778.8662109375
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,-11511.2587890625
NCc1nc(N)co1,-10776.6884765625
Cc1ccc(CCO)o1,-11513.0869140625
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,-9523.0654296875
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,-11948.9453125
O=Cc1ccn[nH]c1=O,-12321.861328125
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,-10936.5302734375
O=C[C@H](O)CC#CCO,-12489.111328125
CC[NH2+]C(C)OCCO,-12014.6787109375
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,-9893.3046875
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,-11916.216796875
CC1=C[C@H]2CC[C@H]2C1,-8487.615234375
N#CC[C@]1(O)COC1[NH-],-12353.4580078125
C#CCOc1nn[nH]n1,-12214.9482421875
CC[C@@H](C)O[C@@H](C)CO,-11610.2529296875
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,-10533.4765625
CC(=O)[C@]12C[C@H]1NC2=O,-11916.8203125
C#CC[C@@]1(C)C[C@@H]1CC,-9555.439453125
C#CC1(CCCC)CC1,-9555.4736328125
NC1=CC(=O)NC12CC2,-11376.4638671875
NC(=O)[C@@H](O)COC=O,-13938.984375
NC(=O)[C@]12CO[C@H](C1)C2,-11949.2822265625
CNC1=CC(C)[C@H](C)O1,-10972.2421875
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,-11949.3134765625
C[C@H](C=O)CC[NH+]1CC1,-11003.310546875
FC(F)(F)c1ccno1,-15866.1640625
C[C@H]1[N@H+]2C[C@H]2CC12CC2,-9992.5498046875
C[C@]12OCC(=O)[C@H]1[C@H]2O,-12489.927734375
Nc1[nH]ncc1CC=O,-11813.1923828125
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,-10937.0625
Cn1cc(N)cc1CO,-11408.673828125
CCN[C@@H]1C([NH-])O[C@@H]1C,-11440.6865234375
CN(C=N)c1ccon1,-11812.265625
OC1C=C2[C@@H]3C[C@@H]3N2N1,-11341.43359375
C[C@H]1CC([NH-])NC(=O)O1,-12387.990234375
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,-10302.19921875
C[C@@]1(C=O)[NH2+][CH+]OC1=O,-12895.6650390625
CCOC1(C#N)COC1,-11948.4677734375
Nc1nc(=O)c(F)no1,-14422.14453125
O=C1N[C@H](CO)[C@@H]2CN12,-12386.2392578125
C#C[C@H]1OCC12CCC2,-10499.6328125
C1COCC2(C1)CCC2,-10566.91015625
C#C[C@@H]1[C@H](O)C[C@H]1NO,-11913.7841796875
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,-10902.4501953125
CCC[C@H]1OCOC1[NH-],-11982.3046875
N#C[C@@H]1C[C@H](NO)[C@@H]1O,-12352.0673828125
CCO/C(=N/C)NC=O,-12419.5869140625
ONc1c[cH+]oc(F)c1,-13547.451171875
COC[C@H]1OCC[C@H]1C,-11577.3447265625
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,-12554.6728515625
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,-9430.9501953125
C[NH2+][CH+]OCC=O,-9843.470703125
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,-8486.44921875
CN(C=O)[C@H]1CCOC1,-11982.31640625
NC(=O)c1ccc(N)[nH]1,-11814.3515625
C1=CCc2[nH]cnc2C1,-10366.541015625
O=C1CCCOCOC1,-12522.6962890625
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,-12489.0087890625
CC[C@@H](C)c1ccno1,-10971.44921875
CN1CCc2n[nH]cc21,-10834.7705078125
Cc1c[nH]nc(C)c1=O,-11376.7939453125
C#CCC#CCC1CC1,-9489.0029296875
N#CC[C@@H]1[C@H](O)C[C@@H]1O,-11948.984375
O=c1cccco1,-9342.7890625
CC(=O)c1cncnc1,-11344.7646484375
C#C[C@]1(C)C[C@]1(C)C#N,-9927.3310546875
C#Cc1cc(N)on1,-10272.6923828125
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,-11407.341796875
CCOc1n[nH]nc1C,-11845.4814453125
O[C@]12CCC[NH2+][C@H]1OC2,-11948.7724609375
C[N@H+]1C[C@H]1COCC=O,-11980.55859375
C[C@@H](CCO)C(=O)C#N,-11949.5546875
N=CN1CC(=O)CC1=O,-12354.8271484375
C[C@H]1OC(=O)N[C@H]1C=O,-12928.5849609375
O[C@]12C[C@H]1C=C1CC[C@H]12,-10500.4169921875
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,-10968.724609375
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,-10937.0400390625
C[C@@]12CC(=O)CO[C@@H]1C2,-11512.2763671875
OC[C@H]1CC[C@H]2C[C@@H]1C2,-10566.6669921875
C[C@H]1N[C@@]12CCCC2=O,-10971.7568359375
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,-12353.8720703125
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,-12521.0703125
OC[C@H]1CC[C@@H](O)C1,-10508.5380859375
N#CCC[C@]1(CO)CO1,-11948.7978515625
C[C@H]1[C@@H](C#N)[C@H]1C#N,-9296.3701171875
CCC#C[C@H]1[C@H]2CC[C@@H]12,-9522.4013671875
CCC1=C(C#N)COC1,-10939.322265625
CC[C@]12C[C@](C#N)(C1)N2,-10396.33984375
CC1=C[C@H]2C[C@]1(C=O)C2,-10501.029296875
C[C@H]1NC(=O)N[C@H]2C[C@H]21,-11409.2734375
O=CO[C@H]1CCNC1=O,-12928.685546875
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,-12352.373046875
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,-11513.2734375
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,-9522.4375
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,-12926.4013671875
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,-11947.0009765625
C[C@H]1CC[C@]1(O)CC#N,-10971.5380859375
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,-11981.0048828125
C[C@H]1OC([NH-])[C@]1(C)C#N,-11376.0205078125
OCC[C@@]1(O)C[N@H+]2C[C@H]21,-11979.9404296875
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,-10937.2060546875
COC[C@]12CO[C@H]1CN2,-11979.8759765625
C[C@H]1C[C@H]2CC[C@]21O,-9497.185546875
O=C1C[C@H]2O[C@H]2CN1,-10880.634765625
OCC#CC12C[NH+](C1)C2,-10935.1826171875
O=COCc1cnco1,-12895.486328125
N[C@@]1(CCO)COC1=O,-12959.78125
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,-9834.4228515625
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,-13532.5927734375
c1nc([C@H]2CCO2)co1,-11916.537109375
CC(C)N(C)C(=N)C=O,-11441.0498046875
C#CCc1nc(O)no1,-12319.884765625
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,-11479.662109375
CC#C[C@H]1C[C@H](CC)C1,-9555.8232421875
C[NH2+]C1COC(=O)N1C,-12387.767578125
C[C@H]1C[C@@H](O)C=CCO1,-11544.65625
N#C[C@H]1NC[C@H]2CN[C@H]21,-10834.0048828125
C#CCc1cc[nH]n1,-9295.5263671875
C#C[C@@]1(C=O)C[C@@H]1O,-10409.2470703125
CC[C@]12O[C@H]1C=CC2=O,-11479.58203125
O=c1cncn[nH]1,-9674.916015625
CC[C@]12C[C@H](CO1)CO2,-11545.234375
O[C@H]1[C@@H]2CC[C@@]1(O)C2,-10475.271484375
CC1=NOC([NH-])=C[CH+]1C,-11375.4794921875
O=C1CC2(CO2)C1,-9373.3662109375
CC1=CC[C@@H]2O[C@H]1C2=O,-11479.4580078125
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,-11510.8525390625
CNC(=O)CO[CH+][NH-],-11350.25
CC[C@H]1OC[C@H]1CC#N,-10971.25
O=C[C@H](CO)OCCO,-13532.7099609375
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,-11372.48046875
CC(C)(C#N)C1(O)CC1,-10971.29296875
CC[C@]12C[C@H]1[C@H]1C[C@H]12,-8485.44921875
NC(=O)c1ncccn1,-11782.0986328125
O=C[C@H]1OCOC12CC2,-12489.37890625
O[C@H]1CC[C@]2(CO2)C1,-10475.373046875
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,-11980.4326171875
CCC#Cc1cocn1,-10906.1767578125
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,-11511.7978515625
CO[C@H]1CCOC1(C)C,-11577.5400390625
O[C@@H]1[C@H](O)[C@]12CCCO2,-12521.8623046875
C1=Cc2[nH]nnc2OC1,-11779.626953125
O[C@H]1CCC[C@H]2N[C@@H]12,-9934.4873046875
CC(=O)[C@H]1OC([NH-])[C@H]1O,-12927.13671875
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,-10566.0673828125
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,-12925.060546875
C[C@@H]1CC[C@H](C)N1C=O,-11005.2705078125
N#C[C@H]1CCCCN1,-9361.8115234375
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,-11475.0263671875
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,-12489.1875
NC1=CN[C@@H]2[C@@H](O)CN12,-11812.068359375
Nc1nn[nH]c1[C@H]1CN1,-11707.572265625
CCCO[C@@H](C)[C@H]1CO1,-11576.7890625
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,-10396.74609375
O[C@H]1C[C@H]2CCC[C@@H]1C2,-10567.662109375
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,-9521.576171875
C#C[C@H](O)[C@H](C=O)CC,-11511.2939453125
O=C1/C=C\NCCCO1,-11949.5439453125
CO[C@H](C1CC1)[C@@H](C)O,-11576.7353515625
CC1=CCC[C@@]2(C)N[C@@H]12,-9993.45703125
C#Cc1c(C)coc1N,-10906.0576171875
C[C@H]1C[C@H]2[N@@H+]1C21COC1,-10969.2509765625
CC1=CCC([NH-])OC1,-9902.7822265625
C#C[C@@]1(N)C[C@@]1(C)C#N,-10363.9755859375
CC[C@H]1CN=COC1=O,-11950.423828125
C[C@]12N[C@H]1[C@@H](C#N)[C@H]2N,-10833.7646484375
O=C1C[C@H]2O[C@H]3[C@@H](N1)[C@H]32,-11916.248046875
