smiles,U_0
Cc1cnc(NC=O)[nH]1,-11813.7646484375
CC(=O)C[C@@]1(C)C[N@@H+]1C,-11002.8046875
O[C@H]1C[C@H]2C[C@@H]3OC[C@]231,-11509.5048828125
C#C[C@H](C)[C@H]1O[C@H]1CO,-11509.47265625
C[C@H]1CO[C@H](C(N)=O)C1,-11982.154296875
O[C@@H]1/C=C\C=C/C/C=C\1,-10500.421875
[CH+]1[NH2+]C[C@]2(O1)[C@@H]1CC[C@@H]12,-10936.9765625
C#CC[C@@]1(C)[C@H](C)[C@@H]1C,-9554.46484375
CC(C)C1=CC[C@H]2N[C@@H]12,-9992.1552734375
N#C[C@@H]1C[C@@]1(N)C#N,-9732.111328125
O=C1N[C@H]2C[C@H]3[C@@H](O1)[C@H]32,-11915.8798828125
O=C[C@@]1(O)[C@H](O)[C@@H]1CO,-13498.908203125
Cc1ccc(O)c(O)n1,-11917.7138671875
OCC[NH+]1CC2(CO2)C1,-11979.0322265625
O=CC[C@@]12C[C@@H](N1)C2=O,-11913.9951171875
C[N@@H+]1[C@@H]2[C@H](C#N)NC[C@@H]21,-10832.9404296875
c1ncn(C[C@H]2CN2)n1,-11270.3408203125
N#C[C@@]12N[C@@H]1C=C[C@@H]2N,-10800.5712890625
C1OC[C@]23O[C@H]2C[C@@H]3O1,-12487.71875
C#C[C@]12CC=C[C@@]1(O)C2,-10466.8974609375
N#C[C@H]1O[C@H]2CO[C@@H]1C2,-11915.6318359375
C[C@@]1(O)[C@H]2N[C@@H]1[C@@]21CN1,-11404.181640625
COC(=O)[C@H](C#N)CN,-12386.025390625
C[C@H]1C=C[C@H]2C34OC23[C@H]14,-10499.123046875
O[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10406.91796875
C[C@@]12[C@H]3CCO[C@@H]1[C@@H]2C3,-10532.658203125
C#C[C@@H]1COC([NH-])[C@H]1O,-11914.9306640625
OC[C@]12[C@@H]3[N@H+]1[C@@H]1[C@H]2[C@]31O,-11911.6650390625
CCN1C(=O)[C@]2(C)C[C@H]12,-10970.310546875
Oc1cc(N2CC2)n[nH]1,-11811.09765625
O=C1Cn2cncc2O1,-12321.421875
C[C@H]1C[C@@]2(C)C[C@@H]3[C@H]2[N@@H+]31,-9991.724609375
CC(=O)[C@H]1C[C@H]2[C@@H](O)[C@H]21,-11510.82421875
OC[C@]12C[C@@H]3[C@H](C1)[N@@H+]32,-9899.4208984375
C[C@]12CNC1=CC(=O)N2,-11374.8369140625
CC[C@]1(C)[C@H]2C[N@@H+]3[C@H]2[C@@H]31,-9990.6025390625
C#C[C@@]12OC[C@@H]1C[C@@H]2C,-10498.86328125
CO[C@H]1[C@H]2O[C@@H]3[C@H]2[C@@]31O,-12486.447265625
C[C@@H]1[C@@H]2[C@H](O)[C@@H]3[C@H]1[N@H+]23,-9899.5205078125
C[N@H+]1CC(=O)[C@H]2C[C@]21C,-10970.4765625
NC(=O)[C@H]1CC12COC2,-11948.05078125
C#C[C@]12C[C@H]1[N@H+](C)[CH+][NH2+]2,-10362.7919921875
[NH-]c1cc(F)[nH+]cc1N,-12466.3134765625
COC[C@@H](C)[C@H]1CCO1,-11575.6796875
C[C@]12N[C@H]1[C@@H](O)[C@H]2C=O,-11947.109375
C[C@H]1[C@@H](O)[C@H]2C[C@]1(C)O2,-11543.439453125
CC#C[C@@H](C)C1CC1,-8485.5634765625
C[C@]1(CO)C=CC(=O)O1,-12490.41015625
C1O[C@]12[C@@H]1N[C@H]2[C@@H]2N[C@@H]21,-11371.5341796875
C#CC(=O)[C@@H](C)CC=O,-11478.1806640625
O[C@H]1CC=C2CCO[C@H]21,-11511.203125
O=C1CCc2ocnc21,-11884.3232421875
[CH+]1[NH2+]C[C@]2(O1)[C@H]1C[C@@H]2C1,-10936.576171875
C[C@H]1[C@H]2N[C@@]2(C=O)[C@H]1C,-10969.615234375
C[C@@]12C[C@@H](OC=O)[C@@H]1C2,-11511.087890625
N#C[C@H](O)c1ccco1,-11883.5498046875
O=CNC1=CCC[C@@H]1O,-11949.28125
COCCCCCO,-10539.720703125
CCNC1=C(C)[CH-]CO1,-10971.208984375
C[CH+]1C=CC([NH-])OC1O,-11916.7666015625
O=C1C(=O)[C@H]2CC[C@@H]1N2,-11916.201171875
NC(=O)[C@H]1O[C@H]1C1CC1,-11947.982421875
C#CCc1c[nH]nc1C,-10363.87890625
N#CC(=O)c1nc[nH]n1,-12184.185546875
C[C@H]1N[C@]2(C[C@H]2O)C1=O,-11947.4990234375
CCC1(C)C23CC12O3,-9495.0322265625
COCCn1cnnc1,-11844.1083984375
C#C[C@]12[C@H]3[C@@H]4[C@H]([N@H+]31)[C@@]42O,-10867.66015625
O=C[C@]12C=C[C@H](C1)[C@@H]2O,-11477.591796875
O=C[C@@H]1[C@@H]2C[C@H]1OC2=O,-12456.8037109375
CC[C@@](C)(OC)C(C)C,-10631.353515625
O=C1OCCC=C1CO,-12490.1328125
O=CN1C[C@H]2[C@@H]1[C@H]1C[N@H+]12,-11372.9443359375
CC[C@H]1C[C@]1(O)CCO,-11575.9990234375
OC[C@@H]1[C@@H]2[C@@H]3C[C@@H]3[C@H]12,-9461.65234375
C1O[C@@H]2[C@@H]3[C@H]1[C@]21OC[C@@H]31,-11474.7626953125
C[C@]12CC(=O)[C@@]1(C#N)N2,-11341.716796875
[NH-]C1=C[CH-][C@@H](O)CCO1,-11948.30078125
C[NH2+][C@@H](C)OC(C)=O,-10912.8974609375
O=C1[C@H]2[C@@H](CO)[C@H]2[C@@H]1O,-12488.173828125
C[C@@H](O)[C@H]1[C@H]2C[C@@H](O)[C@H]21,-11542.904296875
CC[C@@H](C)[C@@H](CC)OC,-10631.35546875
C[C@@H]1C(=O)[C@@H]2N[C@@H]2[C@@H]1O,-11948.1044921875
O=CCc1ccncn1,-11343.6123046875
CC[C@H]1C[C@@H](CO)CO1,-11576.7119140625
N#C[C@H]1C[N@H+]2CC=C[C@@H]12,-10363.9169921875
CC(=O)NCC[C@H]1CO1,-11981.1474609375
N#C[C@@H]1C[C@@H](O)C[C@H]1O,-11948.6552734375
CNC(=O)COC(C)C,-12014.3916015625
C[C@H]1C[C@]12C=CCCC2,-9555.8388671875
N#CC1(O)CCCC1,-9902.0166015625
CC[C@]12[C@@H](O)[C@@H]3C14OC342,-11508.5537109375
O[C@H]1[C@@H]2CC=C[C@H]1CC2,-10533.96484375
C[C@H]1C[C@]2(C=O)[C@H]1[C@@H]2C,-10533.0810546875
CCOC(=O)NC,-9876.720703125
CCC(=O)[C@H]1OC[C@H]1O,-12521.58203125
C1=C[C@H]2[C@@H]3OCO[C@H]2[C@H]13,-11477.4384765625
CCc1conc1CC,-10970.556640625
CC#CC(=O)OCCO,-12489.0146484375
C[C@]12CO[C@H]1[C@@H](CO)N2,-11979.3203125
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1O[C@H]42,-10870.2548828125
CC1(C)CCOCO1,-10507.7607421875
O=C1OC[C@@H]1NCCO,-12958.640625
N#C[C@@]1(O)[C@@H]2N[C@@H]2[C@@H]1N,-11810.1611328125
C#C[C@H](C)[C@H]1COC1=O,-11478.2294921875
COCCC1(CO)CC1,-11575.642578125
O=CC[C@@]1(O)[C@@H]2OC[C@@H]21,-12487.7158203125
C[C@@]1(C=O)OCOC1[NH-],-12926.546875
C[C@H]1C[C@H]2C[C@]1(O)C2,-9496.8515625
CC(=O)[C@@]12C[C@H]3C[C@@H]1[N@H+]32,-10936.5673828125
C[N@@H+](CC=O)C1CC1,-9933.01171875
CCc1ccnc(O)c1,-10939.8427734375
C#C[C@@H]1C[C@H](C)[C@@]1(C)O,-10532.380859375
C[C@H]1C=CC[C@@H]2C[C@H]1O2,-10533.3349609375
C[C@H]1O[C@@H]2[C@H](C=O)[C@@H]2O1,-12488.66015625
O[C@]12C[C@H]1[C@H]1OCO[C@H]12,-12487.830078125
C[C@]12CC[C@H]1CC(=O)C2,-10534.1533203125
O=C1OCC=CC[C@@H]1O,-12489.919921875
C[C@@]12[CH-][C@@H]3CO[C@@H]3[C@@H]1N2,-10935.7041015625
C[C@@H]([NH-])OC(=O)C=O,-11857.7890625
C1C[C@@H]2[C@H]1C[C@@H]1C[C@@H]12,-8486.087890625
OC[C@H]1[C@@H]2CO[C@H]1C2,-10473.748046875
Cn1c(CO)cnc1O,-12385.9384765625
CO[C@H]1C[C@@H](O)[C@@]12CN2,-11979.216796875
C[C@H]1C[C@H]2C[C@]21CC#N,-9959.5693359375
O=C1[C@@H]2[C@@H]3[C@H]1[N@@H+]3C21CC1,-10902.9453125
C1=C[C@@H]2[C@@H]3O[C@H](C=C1)[C@H]23,-10466.92578125
CC[C@](C)(C=O)CO,-10507.6923828125
CC[C@]12O[C@H]1C=C[C@H]2O,-11510.8369140625
C#C[C@H]1C=CC[C@@]12CN2,-9925.5791015625
C[C@H]1CCN(C)C(=O)O1,-11982.4013671875
CC1(C)[C@H](C=O)C[C@@H]1O,-11543.8623046875
C[C@@]1(CO)C[C@H]1[C@H]1CO1,-11542.658203125
CC[C@@]12C[C@H]3[C@@H](O1)[C@]32C,-10531.8828125
O[C@@H]1C=CC2(CC2)C1,-9464.1142578125
N#CCCC1C23CC12O3,-10935.953125
C[C@@]1(C#N)OC[C@H]2O[C@H]21,-11915.3271484375
C[C@H]1O[C@@]12COC([NH-])C2,-11948.2880859375
C#C[C@]1(CC)C[C@H]2O[C@H]21,-10498.6669921875
C#CC1=CC(=O)NCC1,-10905.4814453125
C[C@H](C=O)CCO,-9438.5361328125
CN1CCOC1=O,-9844.111328125
O=C1C[C@@H]([C@H]2CN2)[C@@H]1O,-11947.24609375
C[C@@]1(O)CC[C@H]1C=O,-10474.8212890625
C[C@H]1C=C[C@H]2[C@H]3C[C@@H]1[C@@H]23,-9522.4833984375
C[C@H]1N[C@@]12COC21CC1,-10968.5439453125
COC(=O)[C@H]1N[C@H]1C#N,-12352.62890625
N=CNc1cnon1,-11178.419921875
C#CC[C@@H]1O[C@@H]1CC=O,-11477.06640625
O=CN1CCCNC1=O,-12386.96875
C[N@H+]1[C@@H]2[C@@H]3CC(=O)[C@@H]3[C@@H]21,-10935.9833984375
Cc1c[nH]c(N)c1C,-9361.5078125
CC1(NC(=O)C=O)CC1,-11948.833984375
CC1(C)[C@@H]2C[C@H]1OC2=O,-11511.7353515625
N#C[C@@]12C=C[C@H](O)[C@@H]1N2,-11341.49609375
C[C@@]1(C[C@@H](O)C=O)CN1,-11980.373046875
N#Cc1c[nH]cc1N,-9733.375
O=c1ncc(CO)no1,-13329.7490234375
CC(C)[C@H]1C[C@@H](O)C1=O,-11544.1328125
CCC(=O)C(=O)N(C)C,-11982.029296875
CNc1ncoc1C,-10339.013671875
CC(C)(O)CCCCO,-11609.2802734375
NC(=O)C1=CCCCC1,-10971.9677734375
C#C[C@@H](CC#N)C1CC1,-9926.1591796875
CN(C)C(=O)[C@H]1CCO1,-11980.7138671875
N#CC#C[C@H](C#N)CN,-10767.9169921875
NC(=O)N1[C@@H]2C=CC[C@@H]21,-11375.1552734375
C#C[C@@]1(C)[C@H](O)[C@@H]1C,-9462.966796875
C#C[C@@](N)(C#N)CCC,-10395.802734375
CC1=CN(C=O)C[C@H]1O,-11949.1787109375
C1O[C@H]2[C@H]3[C@@H]1[C@@H]2[N@H+]1C[C@@H]31,-10935.859375
N#CCNc1ncon1,-12215.96875
C[C@H]1CCC[C@H]1C=O,-9497.73046875
CC1=CCCNCC1=O,-10970.8251953125
N#C[C@@H]1OC(=O)C[C@@H]1N,-12353.673828125
N#C[C@]12O[C@H]1C[C@H]1O[C@H]12,-11881.9794921875
C#C[C@H](CC(N)=O)OC,-11947.8056640625
C[C@@]12C[C@@H]3O[C@@H]3C[N@@H+]1C2,-10969.1533203125
C#C[C@@]12C[C@@H]1CO[C@@H]2C,-10499.7333984375
CCOC(=O)C1CCC1,-11544.6865234375
COC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@H]42,-10497.068359375
CCN[C@H](C#N)CNC,-10898.783203125
C[C@@H]1[C@H](C)[C@@H]2NC(=O)[C@H]12,-10970.640625
CCCC[N@@H+](C)CC#N,-10462.0947265625
CC1(C)C[C@]12C[C@H](C)C2,-9587.892578125
O=C1N[C@H]2CO[C@@H]12,-9809.58984375
C[C@H]1O[C@H]1[C@H]1CCC1=O,-11510.83984375
CN[C@@H](C=O)[C@@H](C)C#N,-11407.5546875
C[NH2+]C1C[C@@H](CO)CO1,-11981.146484375
CO[C@]12C=CC[C@H]1[C@H]2O,-11510.4453125
O=C1C=CC(=O)[C@@H]2C[C@H]12,-11446.9755859375
COc1coc(C#N)c1,-11883.498046875
CC1(C)[C@H](C#N)[C@@H]1O,-9901.4072265625
O=C1CC[C@H](CO)CN1,-11982.02734375
CC[C@H]1CO[C@H]1CC#N,-10970.2412109375
[NH-]C1OC=C(N)N=C1F,-13443.6767578125
C#CC#C[C@@H]1C[N@@H+]1C,-8855.6298828125
CC(C)O[C@@H]1[C@@H]2CC[C@@H]21,-10565.07421875
CC1=C[C@@](C)(O)[C@H]2O[C@@H]12,-11511.00390625
Cc1[nH]c(O)nc1CO,-12386.3544921875
Cn1nnc(O)nc1=O,-13226.908203125
O=CC[C@H]1OC12CCC2,-11510.591796875
N#C[C@H]1CCC2(CC2)C1,-9960.3173828125
OCC#Cc1cn[nH]n1,-11777.908203125
C#C[C@@H]1O[C@@H](C)[C@@H](C)O1,-11510.326171875
NCc1nc(N)co1,-10775.796875
Cc1ccc(CCO)o1,-11512.1298828125
CC1=C[C@H]2C[C@@H]3[C@H]2C[C@H]13,-9522.2216796875
CC1[NH2+][C@H]2[C@@H](CO)[C@H]2O1,-11948.025390625
O=Cc1ccn[nH]c1=O,-12320.9873046875
C1C[N@@H+]2[C@@H]3[C@H]1[C@H]2[C@@H]1O[C@@H]13,-10935.71484375
O=C[C@H](O)CC#CCO,-12488.083984375
CC[NH2+]C(C)OCCO,-12013.615234375
C#CC1=C[C@H]2[C@H]3C[C@@H]1[N@H+]32,-9892.4580078125
C[C@]12[C@@H]3C[N@H+]1[C@H]2C(=O)O3,-11915.3642578125
CC1=C[C@H]2CC[C@H]2C1,-8486.7607421875
N#CC[C@]1(O)COC1[NH-],-12352.537109375
C#CCOc1nn[nH]n1,-12214.037109375
CC[C@@H](C)O[C@@H](C)CO,-11609.236328125
C[C@@H]1[C@@H]2O[C@@H]2[C@@H]2[C@H](C)[C@H]12,-10532.59765625
CC(=O)[C@]12C[C@H]1NC2=O,-11915.9072265625
C#CC[C@@]1(C)C[C@@H]1CC,-9554.46875
C#CC1(CCCC)CC1,-9554.490234375
NC1=CC(=O)NC12CC2,-11375.5869140625
NC(=O)[C@@H](O)COC=O,-13938.0087890625
NC(=O)[C@]12CO[C@H](C1)C2,-11948.373046875
CNC1=CC(C)[C@H](C)O1,-10971.2880859375
NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,-11948.4072265625
C[C@H](C=O)CC[NH+]1CC1,-11002.2939453125
FC(F)(F)c1ccno1,-15865.2724609375
C[C@H]1[N@H+]2C[C@H]2CC12CC2,-9991.67578125
C[C@]12OCC(=O)[C@H]1[C@H]2O,-12489.0390625
Nc1[nH]ncc1CC=O,-11812.28515625
C[C@@]12[C@@H]3C[C@H]4[C@@H]([C@H]1O3)[N@H+]42,-10936.232421875
Cn1cc(N)cc1CO,-11407.7158203125
CCN[C@@H]1C([NH-])O[C@@H]1C,-11439.7275390625
CN(C=N)c1ccon1,-11811.3515625
OC1C=C2[C@@H]3C[C@@H]3N2N1,-11340.59765625
C[C@H]1CC([NH-])NC(=O)O1,-12387.0947265625
N[C@]12[C@@H]3[NH2+]C[C@H]1[C@H]2O3,-10301.380859375
C[C@@]1(C=O)[NH2+][CH+]OC1=O,-12894.7548828125
CCOC1(C#N)COC1,-11947.505859375
Nc1nc(=O)c(F)no1,-14421.2392578125
O=C1N[C@H](CO)[C@@H]2CN12,-12385.3388671875
C#C[C@H]1OCC12CCC2,-10498.708984375
C1COCC2(C1)CCC2,-10566.025390625
C#C[C@@H]1[C@H](O)C[C@H]1NO,-11912.861328125
C#C[C@]12CO[C@H]1[C@H]1N[C@H]12,-10901.5947265625
CCC[C@H]1OCOC1[NH-],-11981.3544921875
N#C[C@@H]1C[C@H](NO)[C@@H]1O,-12351.1435546875
CCO/C(=N/C)NC=O,-12418.5693359375
ONc1c[cH+]oc(F)c1,-13546.5830078125
COC[C@H]1OCC[C@H]1C,-11576.3828125
C[C@@H](O)[C@]1(O)[C@H](O)[C@@H]1C,-12553.7236328125
C[C@H]1[C@H]2[C@@H]3C(=O)[C@H]2[C@H]13,-9430.119140625
C[NH2+][CH+]OCC=O,-9842.53515625
C[C@H]1C[C@@H]2[C@H]3C[C@@H]2[C@H]31,-8485.6220703125
CN(C=O)[C@H]1CCOC1,-11981.3564453125
NC(=O)c1ccc(N)[nH]1,-11813.4541015625
C1=CCc2[nH]cnc2C1,-10365.6923828125
O=C1CCCOCOC1,-12521.802734375
CO[C@@]12C(=O)C[C@@H]1[C@@H]2O,-12488.08984375
CC[C@@H](C)c1ccno1,-10970.5029296875
CN1CCc2n[nH]cc21,-10833.900390625
Cc1c[nH]nc(C)c1=O,-11375.8916015625
C#CCC#CCC1CC1,-9487.970703125
N#CC[C@@H]1[C@H](O)C[C@@H]1O,-11948.056640625
O=c1cccco1,-9342.0009765625
CC(=O)c1cncnc1,-11343.875
C#C[C@]1(C)C[C@]1(C)C#N,-9926.4013671875
C#Cc1cc(N)on1,-10271.849609375
C[N@H+]1C([NH-])[C@@]2(C)OC[C@@H]12,-11406.4248046875
CCOc1n[nH]nc1C,-11844.5244140625
O[C@]12CCC[NH2+][C@H]1OC2,-11947.9072265625
C[N@H+]1C[C@H]1COCC=O,-11979.5458984375
C[C@@H](CCO)C(=O)C#N,-11948.55078125
N=CN1CC(=O)CC1=O,-12353.89453125
C[C@H]1OC(=O)N[C@H]1C=O,-12927.673828125
O[C@]12C[C@H]1C=C1CC[C@H]12,-10499.5634765625
C[C@H]1[C@H]2[C@@H]3[C@@H](O)[C@@]2(C)[N@@H+]31,-10967.83984375
C[C@]12C[C@H]1[C@H]1C(=O)C[N@H+]12,-10936.1689453125
C[C@@]12CC(=O)CO[C@@H]1C2,-11511.388671875
OC[C@H]1CC[C@H]2C[C@@H]1C2,-10565.7744140625
C[C@H]1N[C@@]12CCCC2=O,-10970.8544921875
NC(=O)[C@@H]1[C@@H]2[NH2+][CH+]O[C@@H]21,-12352.9931640625
CO[C@H]1[C@H]2[C@H](O)[C@H](O)[C@@H]12,-12520.1513671875
OC[C@H]1CC[C@@H](O)C1,-10507.6318359375
N#CCC[C@]1(CO)CO1,-11947.828125
C[C@H]1[C@@H](C#N)[C@H]1C#N,-9295.48828125
CCC#C[C@H]1[C@H]2CC[C@@H]12,-9521.421875
CCC1=C(C#N)COC1,-10938.3671875
CC[C@]12C[C@](C#N)(C1)N2,-10395.43359375
CC1=C[C@H]2C[C@]1(C=O)C2,-10500.134765625
C[C@H]1NC(=O)N[C@H]2C[C@H]21,-11408.390625
O=CO[C@H]1CCNC1=O,-12927.7705078125
[NH-]C1O[C@H]2[C@H](C=O)N[C@@H]12,-12351.48828125
C[C@H]1C[C@H]2OC(=O)C[C@@H]12,-11512.349609375
C1=C[C@@H]2[C@H]3C[C@@H]2[C@H]3CC1,-9521.5947265625
[NH-][CH+]O[C@@H]1C[C@@]1(O)C=O,-12925.466796875
C[C@@]1(C=O)[N@H+]2C[C@]1(O)C2,-11946.0966796875
C[C@H]1CC[C@]1(O)CC#N,-10970.6025390625
C[C@H]1[C@@H](O)[C@@H](O)[C@H]2C[N@H+]21,-11980.1220703125
C[C@H]1OC([NH-])[C@]1(C)C#N,-11375.099609375
OCC[C@@]1(O)C[N@H+]2C[C@H]21,-11979.005859375
O[C@]12[C@@H]3[C@@H]4C[C@H]1[N@@H+](C4)[C@@H]32,-10936.3896484375
COC[C@]12CO[C@H]1CN2,-11978.943359375
C[C@H]1C[C@H]2CC[C@]21O,-9496.306640625
O=C1C[C@H]2O[C@H]2CN1,-10879.7890625
OCC#CC12C[NH+](C1)C2,-10934.2265625
O=COCc1cnco1,-12894.5537109375
N[C@@]1(CCO)COC1=O,-12958.8349609375
O=C1[C@H]2[C@@H]3[C@H]4[C@@H]3N1[C@@H]24,-9833.630859375
C[C@]1(O)[C@H](O)[C@H](O)[C@@H]1O,-13531.677734375
c1nc([C@H]2CCO2)co1,-11915.6357421875
CC(C)N(C)C(=N)C=O,-11440.0673828125
C#CCc1nc(O)no1,-12318.958984375
O=C[C@@]12C[C@H]3C[C@@H]1[C@@H]2O3,-11478.8125
CC#C[C@H]1C[C@H](CC)C1,-9554.7958984375
C[NH2+]C1COC(=O)N1C,-12386.826171875
C[C@H]1C[C@@H](O)C=CCO1,-11543.7333984375
N#C[C@H]1NC[C@H]2CN[C@H]21,-10833.1181640625
C#CCc1cc[nH]n1,-9294.646484375
C#C[C@@]1(C=O)C[C@@H]1O,-10408.3828125
CC[C@]12O[C@H]1C=CC2=O,-11478.6904296875
O=c1cncn[nH]1,-9674.1298828125
CC[C@]12C[C@H](CO1)CO2,-11544.353515625
O[C@H]1[C@@H]2CC[C@@]1(O)C2,-10474.4365234375
CC1=NOC([NH-])=C[CH+]1C,-11374.5810546875
O=C1CC2(CO2)C1,-9372.5390625
CC1=CC[C@@H]2O[C@H]1C2=O,-11478.5869140625
C[C@H]1O[C@H]2C[C@@H]3[C@H]2O[C@@H]31,-11510.0126953125
CNC(=O)CO[CH+][NH-],-11349.287109375
CC[C@H]1OC[C@H]1CC#N,-10970.2841796875
O=C[C@H](CO)OCCO,-13531.6943359375
OC[C@]12C[C@H]3[NH2+]C[C@@H]1[N@H+]32,-11371.6201171875
CC(C)(C#N)C1(O)CC1,-10970.3681640625
CC[C@]12C[C@H]1[C@H]1C[C@H]12,-8484.5869140625
NC(=O)c1ncccn1,-11781.2158203125
O=C[C@H]1OCOC12CC2,-12488.455078125
O[C@H]1CC[C@]2(CO2)C1,-10474.49609375
CO[C@@H]1[C@H](O)C[N@@H+]2C[C@H]12,-11979.5224609375
CCC#Cc1cocn1,-10905.224609375
CC[C@@]12C[C@H]3O[C@@H]1[C@@H]2O3,-11510.9296875
CO[C@H]1CCOC1(C)C,-11576.5888671875
O[C@@H]1[C@H](O)[C@]12CCCO2,-12520.9521484375
C1=Cc2[nH]nnc2OC1,-11778.7880859375
O[C@H]1CCC[C@H]2N[C@@H]12,-9933.640625
CC(=O)[C@H]1OC([NH-])[C@H]1O,-12926.1962890625
CC[C@H]1[C@H]2OC(C)(C)[C@@H]12,-10565.138671875
O=C1[C@H]2N[C@]1(CO)[C@@H]2O,-12924.158203125
C[C@@H]1CC[C@H](C)N1C=O,-11004.3388671875
N#C[C@H]1CCCCN1,-9360.953125
C1O[C@]23[C@H]4C[C@@]2(C4)O[C@H]13,-11474.2021484375
O[C@@]12C[C@H]3CO[C@@H]1[C@@H]2O3,-12488.3466796875
NC1=CN[C@@H]2[C@@H](O)CN12,-11811.173828125
Nc1nn[nH]c1[C@H]1CN1,-11706.67578125
CCCO[C@@H](C)[C@H]1CO1,-11575.7685546875
C[C@H]1[C@H]2[N@@H+](C)C[C@@]12C#N,-10395.8359375
O[C@H]1C[C@H]2CCC[C@@H]1C2,-10566.8017578125
C[C@H]1C[C@H]2[C@@H]3[C@H]4C[C@]31[C@@H]24,-9520.7333984375
C#C[C@H](O)[C@H](C=O)CC,-11510.298828125
O=C1/C=C\NCCCO1,-11948.662109375
CO[C@H](C1CC1)[C@@H](C)O,-11575.7529296875
CC1=CCC[C@@]2(C)N[C@@H]12,-9992.56640625
C#Cc1c(C)coc1N,-10905.150390625
C[C@H]1C[C@H]2[N@@H+]1C21COC1,-10968.3564453125
CC1=CCC([NH-])OC1,-9901.8896484375
C#C[C@@]1(N)C[C@@]1(C)C#N,-10363.0556640625
CC[C@H]1CN=COC1=O,-11949.5087890625
C[C@]12N[C@H]1[C@@H](C#N)[C@H]2N,-10832.8623046875
O=C1C[C@H]2O[C@H]3[C@@H](N1)[C@H]32,-11915.40625
